metric,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00,stock,2023-09-30 00:00:00,2022-09-30 00:00:00,2021-09-30 00:00:00,2020-09-30 00:00:00,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2023-05-31 00:00:00,2022-05-31 00:00:00,2021-05-31 00:00:00,2020-05-31 00:00:00
Other Non Operating Income Expenses,2952579000.0,2221358000.0,656255000.0,193702000.0,PDD,,,,,,,,,,,
Gain On Sale Of Security,35721000.0,-149710000.0,71750000.0,225197000.0,PDD,,,,,,,,,,,
Net Non Operating Interest Income Expense,10194093000.0,3945445000.0,1830660000.0,1698030000.0,PDD,,,,,,,,,,,
Interest Expense Non Operating,43987000.0,51655000.0,1231002000.0,757336000.0,PDD,,,,,,,,,,,
Interest Income Non Operating,10238080000.0,3997100000.0,3061662000.0,2455366000.0,PDD,,,,,,,,,,,
Operating Income,58698762000.0,30401921000.0,6896762000.0,-9380325000.0,PDD,,,,,,,,,,,
Operating Expense,97216866000.0,68693370000.0,55335084000.0,49593549000.0,PDD,,,,,,,,,,,
Research And Development,10952374000.0,10384716000.0,8992590000.0,6891653000.0,PDD,,,,,,,,,,,
Selling General And Administration,86264492000.0,58308654000.0,46342494000.0,42701896000.0,PDD,,,,,,,,,,,
Selling And Marketing Expense,82188870000.0,54343719000.0,44801720000.0,41194599000.0,PDD,,,,,,,,,,,
General And Administrative Expense,4075622000.0,3964935000.0,1540774000.0,1507297000.0,PDD,,,,,,,,,,,
Other Gand A,4075622000.0,3964935000.0,1540774000.0,1507297000.0,PDD,,,,,,,,,,,
Gross Profit,155915628000.0,99095291000.0,62231846000.0,40213224000.0,PDD,,,,,,,,,,,
Cost Of Revenue,91723577000.0,31462298000.0,31718093000.0,19278641000.0,PDD,,,,,,,,,,,
Total Revenue,247639205000.0,130557589000.0,93949939000.0,59491865000.0,PDD,,,,,,,,,,,
Operating Revenue,247639205000.0,130557589000.0,93949939000.0,59491865000.0,PDD,,,,,,,,,,,
Tax Effect Of Unusual Items,-4158000.0,-38468000.0,124478000.0,58035000.0,GM,,,,,,,,,,,
Tax Rate For Calcs,0.054,0.163,0.218,0.219,GM,,,,,,,,,,,
Normalized EBITDA,23279000000.0,24110000000.0,25146000000.0,21743000000.0,GM,,,,,,,,,,,
Total Unusual Items,-77000000.0,-236000000.0,571000000.0,265000000.0,GM,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,-77000000.0,-236000000.0,571000000.0,265000000.0,GM,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,10127000000.0,9934000000.0,10019000000.0,6427000000.0,GM,,,,,,,,,,,
Reconciled Depreciation,11888000000.0,11290000000.0,12051000000.0,12815000000.0,GM,,,,,,,,,,,
Reconciled Cost Of Revenue,152704000000.0,135754000000.0,109126000000.0,108813000000.0,GM,,,,,,,,,,,
EBITDA,23202000000.0,23874000000.0,25717000000.0,22008000000.0,GM,,,,,,,,,,,
EBIT,11314000000.0,12584000000.0,13666000000.0,9193000000.0,GM,,,,,,,,,,,
Net Interest Income,198000000.0,-527000000.0,-804000000.0,-857000000.0,GM,,,,,,,,,,,
Interest Expense,911000000.0,987000000.0,950000000.0,1098000000.0,GM,,,,,,,,,,,
Interest Income,1109000000.0,460000000.0,146000000.0,241000000.0,GM,,,,,,,,,,,
Normalized Income,10199842000.0,10131532000.0,9572478000.0,6220035000.0,GM,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,10127000000.0,9934000000.0,10019000000.0,6427000000.0,GM,,,,,,,,,,,
Total Expenses,162544000000.0,146421000000.0,117680000000.0,115851000000.0,GM,,,,,,,,,,,
Total Operating Income As Reported,9298000000.0,10315000000.0,9324000000.0,6634000000.0,GM,,,,,,,,,,,
Diluted Average Shares,,1454000000.0,1468000000.0,1442000000.0,GM,,,,,,,,,,,
Basic Average Shares,,1445000000.0,1451000000.0,1433000000.0,GM,,,,,,,,,,,
Diluted EPS,,6.13,6.7,4.33,GM,,,,,,,,,,,
Basic EPS,,6.17,6.78,4.36,GM,,,,,,,,,,,
Diluted NI Availto Com Stockholders,10022000000.0,8915000000.0,9837000000.0,6247000000.0,GM,,,,,,,,,,,
Net Income Common Stockholders,10022000000.0,8915000000.0,9837000000.0,6247000000.0,GM,,,,,,,,,,,
Preferred Stock Dividends,106000000.0,1019000000.0,182000000.0,180000000.0,GM,,,,,,,,,,,
Net Income,10127000000.0,9934000000.0,10019000000.0,6427000000.0,GM,,,,,,,,,,,
Minority Interests,287000000.0,226000000.0,74000000.0,106000000.0,GM,,,,,,,,,,,
Net Income Including Noncontrolling Interests,9840000000.0,9708000000.0,9945000000.0,6321000000.0,GM,,,,,,,,,,,
Net Income Discontinuous Operations,,,,0.0,GM,,,,,,,,,,,
Net Income Continuous Operations,9840000000.0,9708000000.0,9945000000.0,6321000000.0,GM,,,,,,,,,,,
Tax Provision,563000000.0,1888000000.0,2771000000.0,1774000000.0,GM,,,,,,,,,,,
Pretax Income,10403000000.0,11597000000.0,12716000000.0,8095000000.0,GM,,,,,,,,,,,
Other Income Expense,908000000.0,1809000000.0,4196000000.0,2318000000.0,GM,,,,,,,,,,,
Other Non Operating Income Expenses,505000000.0,1208000000.0,2324000000.0,1379000000.0,GM,,,,,,,,,,,
Earnings From Equity Interest,480000000.0,837000000.0,1301000000.0,674000000.0,GM,,,,,,,,,,,
Gain On Sale Of Security,-77000000.0,-236000000.0,571000000.0,265000000.0,GM,,,,,,,,,,,
Net Non Operating Interest Income Expense,198000000.0,-527000000.0,-804000000.0,-857000000.0,GM,,,,,,,,,,,
Interest Expense Non Operating,911000000.0,987000000.0,950000000.0,1098000000.0,GM,,,,,,,,,,,
Interest Income Non Operating,1109000000.0,460000000.0,146000000.0,241000000.0,GM,,,,,,,,,,,
Operating Income,9298000000.0,10314000000.0,9324000000.0,6634000000.0,GM,,,,,,,,,,,
Operating Expense,9840000000.0,10667000000.0,8554000000.0,7038000000.0,GM,,,,,,,,,,,
Selling General And Administration,9840000000.0,10667000000.0,8554000000.0,7038000000.0,GM,,,,,,,,,,,
Gross Profit,19138000000.0,20981000000.0,17878000000.0,13672000000.0,GM,,,,,,,,,,,
Cost Of Revenue,152704000000.0,135754000000.0,109126000000.0,108813000000.0,GM,,,,,,,,,,,
Total Revenue,171842000000.0,156735000000.0,127004000000.0,122485000000.0,GM,,,,,,,,,,,
Operating Revenue,171842000000.0,156735000000.0,127004000000.0,122485000000.0,GM,,,,,,,,,,,
Tax Effect Of Unusual Items,-258991079.393399,-61220430.107527,872578492.935636,147313018.423121,AAL,,,,,,,,,,,
Tax Rate For Calcs,0.266726,0.317204,0.217818,0.224221,AAL,,,,,,,,,,,
Normalized EBITDA,6491000000.0,4639000000.0,-2419000000.0,-8513000000.0,AAL,,,,,,,,,,,
Total Unusual Items,-971000000.0,-193000000.0,4006000000.0,657000000.0,AAL,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,-971000000.0,-193000000.0,4006000000.0,657000000.0,AAL,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,822000000.0,127000000.0,-1993000000.0,-8885000000.0,AAL,,,,,,,,,,,
Reconciled Depreciation,2254000000.0,2298000000.0,2335000000.0,2370000000.0,AAL,,,,,,,,,,,
Reconciled Cost Of Revenue,40978000000.0,39934000000.0,29855000000.0,24563000000.0,AAL,,,,,,,,,,,
EBITDA,5520000000.0,4446000000.0,1587000000.0,-7856000000.0,AAL,,,,,,,,,,,
EBIT,3266000000.0,2148000000.0,-748000000.0,-10226000000.0,AAL,,,,,,,,,,,
Net Interest Income,-1554000000.0,-1746000000.0,-1782000000.0,-1186000000.0,AAL,,,,,,,,,,,
Interest Expense,2145000000.0,1962000000.0,1800000000.0,1227000000.0,AAL,,,,,,,,,,,
Interest Income,591000000.0,216000000.0,18000000.0,41000000.0,AAL,,,,,,,,,,,
Normalized Income,1534008920.606601,258779569.892473,-5126421507.064364,-9394686981.57688,AAL,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,822000000.0,127000000.0,-1993000000.0,-8885000000.0,AAL,,,,,,,,,,,
Total Expenses,48783000000.0,47171000000.0,34947000000.0,28415000000.0,AAL,,,,,,,,,,,
Rent Expense Supplemental,4297000000.0,4125000000.0,4044000000.0,3345000000.0,AAL,,,,,,,,,,,
Total Operating Income As Reported,3034000000.0,1607000000.0,-1059000000.0,-10421000000.0,AAL,,,,,,,,,,,
Diluted Average Shares,719669000.0,655122000.0,644015000.0,483888000.0,AAL,,,,,,,,,,,
Basic Average Shares,653612000.0,650345000.0,644015000.0,483888000.0,AAL,,,,,,,,,,,
Diluted EPS,1.21,0.19,-3.09,-18.36,AAL,,,,,,,,,,,
Basic EPS,1.26,0.2,-3.09,-18.36,AAL,,,,,,,,,,,
Diluted NI Availto Com Stockholders,822000000.0,127000000.0,-1993000000.0,-8885000000.0,AAL,,,,,,,,,,,
Net Income Common Stockholders,822000000.0,127000000.0,-1993000000.0,-8885000000.0,AAL,,,,,,,,,,,
Net Income,822000000.0,127000000.0,-1993000000.0,-8885000000.0,AAL,,,,,,,,,,,
Net Income Including Noncontrolling Interests,822000000.0,127000000.0,-1993000000.0,-8885000000.0,AAL,,,,,,,,,,,
Net Income Continuous Operations,822000000.0,127000000.0,-1993000000.0,-8885000000.0,AAL,,,,,,,,,,,
Tax Provision,299000000.0,59000000.0,-555000000.0,-2568000000.0,AAL,,,,,,,,,,,
Pretax Income,1121000000.0,186000000.0,-2548000000.0,-11453000000.0,AAL,,,,,,,,,,,
Other Income Expense,-1330000000.0,132000000.0,4299000000.0,811000000.0,AAL,,,,,,,,,,,
Other Non Operating Income Expenses,-359000000.0,325000000.0,293000000.0,154000000.0,AAL,,,,,,,,,,,
Special Income Charges,-971000000.0,-193000000.0,4006000000.0,657000000.0,AAL,,,,,,,,,,,
Other Special Charges,948000000.0,44000000.0,-4174000000.0,-3549000000.0,AAL,,,,,,,,,,,
Impairment Of Capital Assets,0.0,149000000.0,0.0,1484000000.0,AAL,,,,,,,,,,,
Restructuring And Mergern Acquisition,23000000.0,0.0,168000000.0,1408000000.0,AAL,,,,,,,,,,,
Net Non Operating Interest Income Expense,-1554000000.0,-1746000000.0,-1782000000.0,-1186000000.0,AAL,,,,,,,,,,,
Interest Expense Non Operating,2145000000.0,1962000000.0,1800000000.0,1227000000.0,AAL,,,,,,,,,,,
Interest Income Non Operating,591000000.0,216000000.0,18000000.0,41000000.0,AAL,,,,,,,,,,,
Operating Income,4005000000.0,1800000000.0,-5065000000.0,-11078000000.0,AAL,,,,,,,,,,,
Operating Expense,7805000000.0,7237000000.0,5092000000.0,3852000000.0,AAL,,,,,,,,,,,
Other Operating Expenses,6006000000.0,5422000000.0,3994000000.0,3186000000.0,AAL,,,,,,,,,,,
Selling General And Administration,1799000000.0,1815000000.0,1098000000.0,666000000.0,AAL,,,,,,,,,,,
Selling And Marketing Expense,1799000000.0,1815000000.0,1098000000.0,666000000.0,AAL,,,,,,,,,,,
Gross Profit,11810000000.0,9037000000.0,27000000.0,-7226000000.0,AAL,,,,,,,,,,,
Cost Of Revenue,40978000000.0,39934000000.0,29855000000.0,24563000000.0,AAL,,,,,,,,,,,
Total Revenue,52788000000.0,48971000000.0,29882000000.0,17337000000.0,AAL,,,,,,,,,,,
Operating Revenue,49324000000.0,45801000000.0,27377000000.0,15287000000.0,AAL,,,,,,,,,,,
Tax Effect Of Unusual Items,15900000.0,-52318000.0,-7353962.264151,-28328007.518797,LUV,,,,,,,,,,,
Tax Rate For Calcs,0.265,0.259,0.262642,0.277726,LUV,,,,,,,,,,,
Normalized EBITDA,2331000000.0,2582000000.0,3056000000.0,-2585000000.0,LUV,,,,,,,,,,,
Total Unusual Items,60000000.0,-202000000.0,-28000000.0,-102000000.0,LUV,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,60000000.0,-202000000.0,-28000000.0,-102000000.0,LUV,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,465000000.0,539000000.0,977000000.0,-3074000000.0,LUV,,,,,,,,,,,
Reconciled Depreciation,1522000000.0,1351000000.0,1272000000.0,1255000000.0,LUV,,,,,,,,,,,
Reconciled Cost Of Revenue,21868000000.0,19062000000.0,11675000000.0,10938000000.0,LUV,,,,,,,,,,,
EBITDA,2391000000.0,2380000000.0,3028000000.0,-2687000000.0,LUV,,,,,,,,,,,
EBIT,869000000.0,1029000000.0,1756000000.0,-3942000000.0,LUV,,,,,,,,,,,
Net Interest Income,347000000.0,-84000000.0,-418000000.0,-282000000.0,LUV,,,,,,,,,,,
Interest Expense,236000000.0,301000000.0,431000000.0,314000000.0,LUV,,,,,,,,,,,
Interest Income,583000000.0,217000000.0,13000000.0,32000000.0,LUV,,,,,,,,,,,
Normalized Income,420900000.0,688682000.0,997646037.735849,-3000328007.518797,LUV,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,465000000.0,539000000.0,977000000.0,-3074000000.0,LUV,,,,,,,,,,,
Total Expenses,25867000000.0,22797000000.0,14069000000.0,12864000000.0,LUV,,,,,,,,,,,
Rent Expense Supplemental,1789000000.0,1508000000.0,1456000000.0,1240000000.0,LUV,,,,,,,,,,,
Total Operating Income As Reported,224000000.0,1017000000.0,1721000000.0,-3816000000.0,LUV,,,,,,,,,,,
Diluted Average Shares,640000000.0,642000000.0,609000000.0,539000000.0,LUV,,,,,,,,,,,
Basic Average Shares,595000000.0,593000000.0,592000000.0,538000000.0,LUV,,,,,,,,,,,
Diluted EPS,0.76,0.87,1.61,-5.44,LUV,,,,,,,,,,,
Basic EPS,0.78,0.91,1.65,-5.44,LUV,,,,,,,,,,,
Diluted NI Availto Com Stockholders,484000000.0,561000000.0,977000000.0,-3074000000.0,LUV,,,,,,,,,,,
Net Income Common Stockholders,484000000.0,561000000.0,977000000.0,-3074000000.0,LUV,,,,,,,,,,,
Otherunder Preferred Stock Dividend,-19000000.0,-22000000.0,0.0,0.0,LUV,,,,,,,,,,,
Net Income,465000000.0,539000000.0,977000000.0,-3074000000.0,LUV,,,,,,,,,,,
Net Income Including Noncontrolling Interests,465000000.0,539000000.0,977000000.0,-3074000000.0,LUV,,,,,,,,,,,
Net Income Continuous Operations,465000000.0,539000000.0,977000000.0,-3074000000.0,LUV,,,,,,,,,,,
Tax Provision,168000000.0,189000000.0,348000000.0,-1182000000.0,LUV,,,,,,,,,,,
Pretax Income,633000000.0,728000000.0,1325000000.0,-4256000000.0,LUV,,,,,,,,,,,
Other Income Expense,62000000.0,-205000000.0,22000000.0,-158000000.0,LUV,,,,,,,,,,,
Other Non Operating Income Expenses,2000000.0,-3000000.0,50000000.0,-56000000.0,LUV,,,,,,,,,,,
Special Income Charges,0.0,-193000000.0,-28000000.0,0.0,LUV,,,,,,,,,,,
Other Special Charges,,193000000.0,28000000.0,,LUV,,,,,,,,,,,
Gain On Sale Of Security,60000000.0,-9000000.0,57000000.0,-102000000.0,LUV,,,,,,,,,,,
Net Non Operating Interest Income Expense,347000000.0,-84000000.0,-418000000.0,-282000000.0,LUV,,,,,,,,,,,
Interest Expense Non Operating,236000000.0,301000000.0,431000000.0,314000000.0,LUV,,,,,,,,,,,
Interest Income Non Operating,583000000.0,217000000.0,13000000.0,32000000.0,LUV,,,,,,,,,,,
Operating Income,224000000.0,1017000000.0,1721000000.0,-3816000000.0,LUV,,,,,,,,,,,
Operating Expense,3999000000.0,3735000000.0,2394000000.0,1926000000.0,LUV,,,,,,,,,,,
Other Operating Expenses,3999000000.0,3735000000.0,2394000000.0,1926000000.0,LUV,,,,,,,,,,,
Gross Profit,4223000000.0,4752000000.0,4115000000.0,-1890000000.0,LUV,,,,,,,,,,,
Cost Of Revenue,21868000000.0,19062000000.0,11675000000.0,10938000000.0,LUV,,,,,,,,,,,
Total Revenue,26091000000.0,23814000000.0,15790000000.0,9048000000.0,LUV,,,,,,,,,,,
Operating Revenue,23812000000.0,21585000000.0,14253000000.0,7826000000.0,LUV,,,,,,,,,,,
Tax Effect Of Unusual Items,-2366123.352793,-1550220.0,-7560000.0,10482758.62069,BATRA,,,,,,,,,,,
Tax Rate For Calcs,0.029917,0.21,0.27,0.327586,BATRA,,,,,,,,,,,
Normalized EBITDA,58585000.0,77144000.0,121000000.0,-53000000.0,BATRA,,,,,,,,,,,
Total Unusual Items,-79090000.0,-7382000.0,-28000000.0,32000000.0,BATRA,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,-79090000.0,-7382000.0,-28000000.0,32000000.0,BATRA,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,-125294000.0,-34172000.0,-11000000.0,-78000000.0,BATRA,,,,,,,,,,,
Reconciled Depreciation,70980000.0,71697000.0,72000000.0,69000000.0,BATRA,,,,,,,,,,,
Reconciled Cost Of Revenue,491225000.0,436506000.0,,,BATRA,,,,,,,,,,,
EBITDA,-20505000.0,69762000.0,93000000.0,-21000000.0,BATRA,,,,,,,,,,,
EBIT,-91485000.0,-1935000.0,21000000.0,-90000000.0,BATRA,,,,,,,,,,,
Net Interest Income,-37673000.0,-29582000.0,-24000000.0,-26000000.0,BATRA,,,,,,,,,,,
Interest Expense,37673000.0,29582000.0,24000000.0,26000000.0,BATRA,,,,,,,,,,,
Normalized Income,-48570123.352793,-28340220.0,9440000.0,-99517241.37931,BATRA,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,-125294000.0,-34172000.0,-11000000.0,-78000000.0,BATRA,,,,,,,,,,,
Total Expenses,686543000.0,613715000.0,548000000.0,306000000.0,BATRA,,,,,,,,,,,
Total Operating Income As Reported,-46440000.0,-30581000.0,20000000.0,-128000000.0,BATRA,,,,,,,,,,,
Diluted Average Shares,,62130909.0,52789721.0,60000000.0,BATRA,,,,,,,,,,,
Basic Average Shares,,62130909.0,52789721.0,51000000.0,BATRA,,,,,,,,,,,
Diluted EPS,,-0.55,-0.208374,-2.0,BATRA,,,,,,,,,,,
Basic EPS,,-0.55,-0.208374,-1.53,BATRA,,,,,,,,,,,
Diluted NI Availto Com Stockholders,-125294000.0,-34172000.0,-11000000.0,-78000000.0,BATRA,,,,,,,,,,,
Net Income Common Stockholders,-125294000.0,-34172000.0,-11000000.0,-78000000.0,BATRA,,,,,,,,,,,
Otherunder Preferred Stock Dividend,,,,0.0,BATRA,,,,,,,,,,,
Net Income,-125294000.0,-34172000.0,-11000000.0,-78000000.0,BATRA,,,,,,,,,,,
Net Income Including Noncontrolling Interests,-125294000.0,-34172000.0,-11000000.0,-78000000.0,BATRA,,,,,,,,,,,
Net Income Continuous Operations,-125294000.0,-34172000.0,-11000000.0,-78000000.0,BATRA,,,,,,,,,,,
Tax Provision,-3864000.0,2655000.0,8000000.0,-38000000.0,BATRA,,,,,,,,,,,
Pretax Income,-129158000.0,-31517000.0,-3000000.0,-116000000.0,BATRA,,,,,,,,,,,
Other Income Expense,-45609000.0,23219000.0,1000000.0,38000000.0,BATRA,,,,,,,,,,,
Other Non Operating Income Expenses,6496000.0,1674000.0,-1000000.0,42000000.0,BATRA,,,,,,,,,,,
Special Income Charges,1745000.0,14705000.0,,0.0,BATRA,,,,,,,,,,,
Gain On Sale Of Ppe,2309000.0,20132000.0,,,BATRA,,,,,,,,,,,
Write Off,,6000000.0,,,BATRA,,,,,,,,,,,
Impairment Of Capital Assets,564000.0,5427000.0,,,BATRA,,,,,,,,,,,
Restructuring And Mergern Acquisition,,,,0.0,BATRA,,,,,,,,,,,
Earnings From Equity Interest,26985000.0,28927000.0,30000000.0,6000000.0,BATRA,,,,,,,,,,,
Gain On Sale Of Security,-80835000.0,-22087000.0,-28000000.0,32000000.0,BATRA,,,,,,,,,,,
Net Non Operating Interest Income Expense,-37673000.0,-29582000.0,-24000000.0,-26000000.0,BATRA,,,,,,,,,,,
Interest Expense Non Operating,37673000.0,29582000.0,24000000.0,26000000.0,BATRA,,,,,,,,,,,
Operating Income,-45876000.0,-25154000.0,20000000.0,-128000000.0,BATRA,,,,,,,,,,,
Operating Expense,195318000.0,177209000.0,548000000.0,306000000.0,BATRA,,,,,,,,,,,
Other Operating Expenses,,434000000.0,377000000.0,170000000.0,BATRA,,,,,,,,,,,
Depreciation Amortization Depletion Income Statement,70980000.0,71697000.0,72000000.0,69000000.0,BATRA,,,,,,,,,,,
Depreciation And Amortization In Income Statement,70980000.0,71697000.0,72000000.0,69000000.0,BATRA,,,,,,,,,,,
Selling General And Administration,124338000.0,105512000.0,99000000.0,67000000.0,BATRA,,,,,,,,,,,
Gross Profit,149442000.0,152055000.0,,,BATRA,,,,,,,,,,,
Cost Of Revenue,491225000.0,436506000.0,,,BATRA,,,,,,,,,,,
Total Revenue,640667000.0,588561000.0,568000000.0,178000000.0,BATRA,,,,,,,,,,,
Operating Revenue,640667000.0,588561000.0,568000000.0,178000000.0,BATRA,,,,,,,,,,,
Tax Effect Of Unusual Items,,,,,DIS,-1075947000.0,-295200000.0,-6540000.0,-1548450000.0,,,,,,,
Tax Rate For Calcs,,,,,DIS,0.289,0.328,0.01,0.27,,,,,,,
Normalized EBITDA,,,,,DIS,15834000000.0,12897000000.0,9732000000.0,10828000000.0,,,,,,,
Total Unusual Items,,,,,DIS,-3723000000.0,-900000000.0,-654000000.0,-5735000000.0,,,,,,,
Total Unusual Items Excluding Goodwill,,,,,DIS,-3723000000.0,-900000000.0,-654000000.0,-5735000000.0,,,,,,,
Net Income From Continuing Operation Net Minority Interest,,,,,DIS,2354000000.0,3193000000.0,2024000000.0,-2832000000.0,,,,,,,
Reconciled Depreciation,,,,,DIS,5369000000.0,5163000000.0,5111000000.0,5345000000.0,,,,,,,
Reconciled Cost Of Revenue,,,,,DIS,59201000000.0,54401000000.0,45131000000.0,43880000000.0,,,,,,,
EBITDA,,,,,DIS,12111000000.0,11997000000.0,9078000000.0,5093000000.0,,,,,,,
EBIT,,,,,DIS,6742000000.0,6834000000.0,3967000000.0,-252000000.0,,,,,,,
Net Interest Income,,,,,DIS,-1209000000.0,-1397000000.0,-1406000000.0,-1491000000.0,,,,,,,
Interest Expense,,,,,DIS,1973000000.0,1549000000.0,1406000000.0,1491000000.0,,,,,,,
Interest Income,,,,,DIS,764000000.0,152000000.0,140000000.0,156000000.0,,,,,,,
Normalized Income,,,,,DIS,5001053000.0,3797800000.0,2671460000.0,1354550000.0,,,,,,,
Net Income From Continuing And Discontinued Operation,,,,,DIS,2354000000.0,3145000000.0,1995000000.0,-2864000000.0,,,,,,,
Total Expenses,,,,,DIS,79906000000.0,75952000000.0,63759000000.0,61594000000.0,,,,,,,
Diluted Average Shares,,,,,DIS,1830000000.0,1827000000.0,1828000000.0,1808000000.0,,,,,,,
Basic Average Shares,,,,,DIS,1828000000.0,1822000000.0,1816000000.0,1808000000.0,,,,,,,
Diluted EPS,,,,,DIS,1.29,1.72,1.09,-1.58,,,,,,,
Basic EPS,,,,,DIS,1.29,1.73,1.1,-1.58,,,,,,,
Diluted NI Availto Com Stockholders,,,,,DIS,2354000000.0,3145000000.0,1995000000.0,-2864000000.0,,,,,,,
Net Income Common Stockholders,,,,,DIS,2354000000.0,3145000000.0,1995000000.0,-2864000000.0,,,,,,,
Net Income,,,,,DIS,2354000000.0,3145000000.0,1995000000.0,-2864000000.0,,,,,,,
Minority Interests,,,,,DIS,-1036000000.0,-360000000.0,-512000000.0,-390000000.0,,,,,,,
Net Income Including Noncontrolling Interests,,,,,DIS,3390000000.0,3505000000.0,2507000000.0,-2474000000.0,,,,,,,
Net Income Discontinuous Operations,,,,,DIS,0.0,-48000000.0,-29000000.0,-32000000.0,,,,,,,
Net Income Continuous Operations,,,,,DIS,3390000000.0,3553000000.0,2536000000.0,-2442000000.0,,,,,,,
Tax Provision,,,,,DIS,1379000000.0,1732000000.0,25000000.0,699000000.0,,,,,,,
Pretax Income,,,,,DIS,4769000000.0,5285000000.0,2561000000.0,-1743000000.0,,,,,,,
Other Income Expense,,,,,DIS,-3014000000.0,-88000000.0,308000000.0,-4046000000.0,,,,,,,
Other Non Operating Income Expenses,,,,,DIS,-73000000.0,-4000000.0,201000000.0,1038000000.0,,,,,,,
Special Income Charges,,,,,DIS,-3892000000.0,-237000000.0,-654000000.0,-5735000000.0,,,,,,,
Gain On Sale Of Business,,,,,DIS,,0.0,312000000.0,0.0,,,,,,,
Other Special Charges,,,,,DIS,,,,-973000000.0,,,,,,,
Restructuring And Mergern Acquisition,,,,,DIS,3892000000.0,237000000.0,654000000.0,5735000000.0,,,,,,,
Earnings From Equity Interest,,,,,DIS,782000000.0,816000000.0,761000000.0,651000000.0,,,,,,,
Gain On Sale Of Security,,,,,DIS,169000000.0,-663000000.0,-111000000.0,1038000000.0,,,,,,,
Net Non Operating Interest Income Expense,,,,,DIS,-1209000000.0,-1397000000.0,-1406000000.0,-1491000000.0,,,,,,,
Interest Expense Non Operating,,,,,DIS,1973000000.0,1549000000.0,1406000000.0,1491000000.0,,,,,,,
Interest Income Non Operating,,,,,DIS,764000000.0,152000000.0,140000000.0,156000000.0,,,,,,,
Operating Income,,,,,DIS,8992000000.0,6770000000.0,3659000000.0,3794000000.0,,,,,,,
Operating Expense,,,,,DIS,20705000000.0,21551000000.0,18628000000.0,17714000000.0,,,,,,,
Depreciation Amortization Depletion Income Statement,,,,,DIS,5369000000.0,5163000000.0,5111000000.0,5345000000.0,,,,,,,
Depreciation And Amortization In Income Statement,,,,,DIS,5369000000.0,5163000000.0,5111000000.0,5345000000.0,,,,,,,
Selling General And Administration,,,,,DIS,15336000000.0,16388000000.0,13517000000.0,12369000000.0,,,,,,,
Gross Profit,,,,,DIS,29697000000.0,28321000000.0,22287000000.0,21508000000.0,,,,,,,
Cost Of Revenue,,,,,DIS,59201000000.0,54401000000.0,45131000000.0,43880000000.0,,,,,,,
Total Revenue,,,,,DIS,88898000000.0,82722000000.0,67418000000.0,65388000000.0,,,,,,,
Operating Revenue,,,,,DIS,88898000000.0,82722000000.0,67418000000.0,65388000000.0,,,,,,,
Tax Effect Of Unusual Items,22560000.0,53520000.0,0.0,0.0,COOP,,,,,,,,,,,
Tax Rate For Calcs,0.235,0.24,0.243,0.23,COOP,,,,,,,,,,,
Normalized EBITDA,555000000.0,841000000.0,1466000000.0,610000000.0,COOP,,,,,,,,,,,
Total Unusual Items,96000000.0,223000000.0,,,COOP,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,96000000.0,223000000.0,,,COOP,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,500000000.0,923000000.0,1466000000.0,307000000.0,COOP,,,,,,,,,,,
Reconciled Depreciation,38000000.0,37000000.0,57000000.0,73000000.0,COOP,,,,,,,,,,,
Reconciled Cost Of Revenue,1171000000.0,1213000000.0,1514000000.0,1555000000.0,COOP,,,,,,,,,,,
EBITDA,651000000.0,1064000000.0,1466000000.0,610000000.0,COOP,,,,,,,,,,,
EBIT,613000000.0,1027000000.0,1409000000.0,537000000.0,COOP,,,,,,,,,,,
Net Interest Income,,,-478000000.0,-528000000.0,COOP,,,,,,,,,,,
Interest Expense,,,478000000.0,528000000.0,COOP,,,,,,,,,,,
Interest Income,,,231000000.0,158000000.0,COOP,,,,,,,,,,,
Normalized Income,426560000.0,753520000.0,1466000000.0,307000000.0,COOP,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,500000000.0,923000000.0,1454000000.0,305000000.0,COOP,,,,,,,,,,,
Total Expenses,1709000000.0,1698000000.0,2140000000.0,2310000000.0,COOP,,,,,,,,,,,
Diluted Average Shares,68549000.0,73818000.0,85806000.0,94494000.0,COOP,,,,,,,,,,,
Basic Average Shares,67070000.0,71885000.0,82247000.0,91312000.0,COOP,,,,,,,,,,,
Diluted EPS,7.3,12.5,16.53,3.2,COOP,,,,,,,,,,,
Basic EPS,7.46,12.84,17.24,3.31,COOP,,,,,,,,,,,
