metric,2024-03-31 00:00:00,2023-12-31 00:00:00,2023-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,stock,2024-02-29 00:00:00,2023-11-30 00:00:00,2023-08-31 00:00:00,2023-05-31 00:00:00,2023-02-28 00:00:00,2022-11-30 00:00:00,2024-01-31 00:00:00,2023-10-31 00:00:00,2023-07-31 00:00:00,2023-04-30 00:00:00,2023-01-31 00:00:00,2022-10-31 00:00:00
Net Income Common Stockholders,12702000000.0,37574000000.0,-12767000000.0,35912000000.0,35504000000.0,,,BRK-B,,,,,,,,,,,,
Net Income,12702000000.0,37574000000.0,-12767000000.0,35912000000.0,35504000000.0,,,BRK-B,,,,,,,,,,,,
Minority Interests,-130000000.0,-184000000.0,-200000000.0,-287000000.0,-253000000.0,,,BRK-B,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,12832000000.0,37758000000.0,-12567000000.0,36199000000.0,35757000000.0,,,BRK-B,,,,,,,,,,,,
Net Income Continuous Operations,12832000000.0,37758000000.0,-12567000000.0,36199000000.0,35757000000.0,,,BRK-B,,,,,,,,,,,,
Tax Provision,2874000000.0,9180000000.0,-4392000000.0,9236000000.0,8995000000.0,,,BRK-B,,,,,,,,,,,,
Pretax Income,15706000000.0,46938000000.0,-16959000000.0,45435000000.0,44752000000.0,,,BRK-B,,,,,,,,,,,,
Other Income Expense,63021000000.0,66210000000.0,66421000000.0,66606000000.0,61350000000.0,,,BRK-B,,,,,,,,,,,,
Net Non Operating Interest Income Expense,-1316000000.0,-1276000000.0,-1260000000.0,-1249000000.0,-1218000000.0,,,BRK-B,,,,,,,,,,,,
Interest Expense Non Operating,1316000000.0,1276000000.0,1260000000.0,1249000000.0,1218000000.0,,,BRK-B,,,,,,,,,,,,
Other Operating Expenses,21211000000.0,22828000000.0,23376000000.0,23362000000.0,18878000000.0,,,BRK-B,,,,,,,,,,,,
Selling General And Administration,6464000000.0,8492000000.0,6609000000.0,6462000000.0,7079000000.0,,,BRK-B,,,,,,,,,,,,
Selling And Marketing Expense,4773000000.0,6878000000.0,5120000000.0,5005000000.0,5602000000.0,,,BRK-B,,,,,,,,,,,,
General And Administrative Expense,1691000000.0,1614000000.0,1489000000.0,1457000000.0,1477000000.0,,,BRK-B,,,,,,,,,,,,
Other Gand A,1691000000.0,1614000000.0,1489000000.0,1457000000.0,1477000000.0,,,BRK-B,,,,,,,,,,,,
Total Revenue,91745000000.0,130190000000.0,63432000000.0,125564000000.0,120151000000.0,,,BRK-B,,,,,,,,,,,,
Operating Revenue,91745000000.0,130190000000.0,63432000000.0,125564000000.0,120151000000.0,,,BRK-B,,,,,,,,,,,,
Tax Effect Of Unusual Items,11940609.862136,571310.338681,6427313.317122,2104996.972902,981443.927649,,,DOLE,,,,,,,,,,,,
Tax Rate For Calcs,0.327985,0.133111,0.205536,0.219339,0.247028,,,DOLE,,,,,,,,,,,,
Normalized EBITDA,110549000.0,64162000.0,71861000.0,116889000.0,89163000.0,,,DOLE,,,,,,,,,,,,
Total Unusual Items,36406000.0,4292000.0,31271000.0,9597000.0,3973000.0,,,DOLE,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,36406000.0,4292000.0,31271000.0,9597000.0,3973000.0,,,DOLE,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,76194000.0,16539000.0,46964000.0,53713000.0,28665000.0,,,DOLE,,,,,,,,,,,,
Reconciled Depreciation,24121000.0,27260000.0,18901000.0,31088000.0,26919000.0,,,DOLE,,,,,,,,,,,,
Reconciled Cost Of Revenue,1926697000.0,1920077000.0,1876292000.0,1944601000.0,1810128000.0,,,DOLE,,,,,,,,,,,,
EBITDA,146955000.0,68454000.0,103132000.0,126486000.0,93136000.0,,,DOLE,,,,,,,,,,,,
EBIT,122834000.0,41194000.0,84231000.0,95398000.0,66217000.0,,,DOLE,,,,,,,,,,,,
Net Interest Income,-14869000.0,-15931000.0,-18588000.0,-17108000.0,-19403000.0,,,DOLE,,,,,,,,,,,,
Interest Expense,17948000.0,18754000.0,20899000.0,19748000.0,21712000.0,,,DOLE,,,,,,,,,,,,
Interest Income,3079000.0,2823000.0,2311000.0,2640000.0,2309000.0,,,DOLE,,,,,,,,,,,,
Normalized Income,51728609.862136,12818310.338681,22120313.317122,46220996.972902,25673443.927649,,,DOLE,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,70143000.0,22337000.0,45292000.0,42275000.0,14159000.0,,,DOLE,,,,,,,,,,,,
Total Expenses,2045647000.0,2039291000.0,1994315000.0,2060268000.0,1931007000.0,,,DOLE,,,,,,,,,,,,
Total Operating Income As Reported,112133000.0,41293000.0,77103000.0,91629000.0,62133000.0,,,DOLE,,,,,,,,,,,,
Diluted Average Shares,95229000.0,95187000.0,95148000.0,95112000.0,95024000.0,,,DOLE,,,,,,,,,,,,
Basic Average Shares,94929000.0,94929000.0,94929000.0,94909000.0,94899000.0,,,DOLE,,,,,,,,,,,,
Diluted EPS,0.74,0.23,0.48,0.44,0.15,,,DOLE,,,,,,,,,,,,
Basic EPS,0.74,0.24,0.48,0.45,0.15,,,DOLE,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,70143000.0,22337000.0,45292000.0,42275000.0,14159000.0,,,DOLE,,,,,,,,,,,,
Net Income Common Stockholders,70143000.0,22337000.0,45292000.0,42275000.0,14159000.0,,,DOLE,,,,,,,,,,,,
Net Income,70143000.0,22337000.0,45292000.0,42275000.0,14159000.0,,,DOLE,,,,,,,,,,,,
Minority Interests,4707000.0,-6597000.0,-8693000.0,-10032000.0,-6324000.0,,,DOLE,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,65436000.0,28934000.0,53985000.0,52307000.0,20483000.0,,,DOLE,,,,,,,,,,,,
Net Income Discontinuous Operations,-6051000.0,5798000.0,-1672000.0,-11438000.0,-14506000.0,,,DOLE,,,,,,,,,,,,
Net Income Continuous Operations,71487000.0,23136000.0,55657000.0,63745000.0,34989000.0,,,DOLE,,,,,,,,,,,,
Earnings From Equity Interest Net Of Tax,1002000.0,3683000.0,5342000.0,4688000.0,1478000.0,,,DOLE,,,,,,,,,,,,
Tax Provision,34401000.0,2987000.0,13017000.0,16593000.0,10994000.0,,,DOLE,,,,,,,,,,,,
Pretax Income,104886000.0,22440000.0,63332000.0,75650000.0,44505000.0,,,DOLE,,,,,,,,,,,,
Other Income Expense,44028000.0,5407000.0,33563000.0,11852000.0,5748000.0,,,DOLE,,,,,,,,,,,,
Other Non Operating Income Expenses,7622000.0,1115000.0,2292000.0,2255000.0,1775000.0,,,DOLE,,,,,,,,,,,,
Special Income Charges,36406000.0,8479000.0,28770000.0,10705000.0,3973000.0,,,DOLE,,,,,,,,,,,,
Gain On Sale Of Ppe,417000.0,10666000.0,28746000.0,10723000.0,3973000.0,,,DOLE,,,,,,,,,,,,
Gain On Sale Of Business,73950000.0,0.0,0.0,0.0,0.0,,,DOLE,,,,,,,,,,,,
Impairment Of Capital Assets,37961000.0,,,,0.0,,,DOLE,,,,,,,,,,,,
Restructuring And Mergern Acquisition,,-30000.0,-24000.0,18000.0,-55000.0,-78000.0,,DOLE,,,,,,,,,,,,
Gain On Sale Of Security,,-4187000.0,2501000.0,-1108000.0,-1005000.0,-7435000.0,,DOLE,,,,,,,,,,,,
Net Non Operating Interest Income Expense,-14869000.0,-15931000.0,-18588000.0,-17108000.0,-19403000.0,,,DOLE,,,,,,,,,,,,
Interest Expense Non Operating,17948000.0,18754000.0,20899000.0,19748000.0,21712000.0,,,DOLE,,,,,,,,,,,,
Interest Income Non Operating,3079000.0,2823000.0,2311000.0,2640000.0,2309000.0,,,DOLE,,,,,,,,,,,,
Operating Income,75727000.0,32964000.0,48357000.0,80906000.0,58160000.0,,,DOLE,,,,,,,,,,,,
Operating Expense,118950000.0,119214000.0,118023000.0,115667000.0,120879000.0,,,DOLE,,,,,,,,,,,,
Selling General And Administration,118950000.0,119214000.0,118023000.0,115667000.0,120879000.0,,,DOLE,,,,,,,,,,,,
General And Administrative Expense,,119214000.0,118023000.0,115667000.0,120879000.0,127669000.0,,DOLE,,,,,,,,,,,,
Other Gand A,,119334000.0,118023000.0,115667000.0,120879000.0,127669000.0,,DOLE,,,,,,,,,,,,
Gross Profit,194677000.0,152178000.0,166380000.0,196573000.0,179039000.0,,,DOLE,,,,,,,,,,,,
Cost Of Revenue,1926697000.0,1920077000.0,1876292000.0,1944601000.0,1810128000.0,,,DOLE,,,,,,,,,,,,
Total Revenue,2121374000.0,2072255000.0,2042672000.0,2141174000.0,1989167000.0,,,DOLE,,,,,,,,,,,,
Operating Revenue,2121374000.0,2002545000.0,2042672000.0,2123631000.0,1989167000.0,,,DOLE,,,,,,,,,,,,
Tax Effect Of Unusual Items,,,,,,,,FDX,-29298000.0,-36395000.0,-25410000.0,-63491541.353383,-30258000.0,,,,,,,
Tax Rate For Calcs,,,,,,,,FDX,0.257,0.251,0.242,0.277256,0.246,,,,,,,
Normalized EBITDA,,,,,,,,FDX,2543000000.0,2606000000.0,2766000000.0,3755000000.0,2319000000.0,,,,,,,
Total Unusual Items,,,,,,,,FDX,-114000000.0,-145000000.0,-105000000.0,-229000000.0,-123000000.0,,,,,,,
Total Unusual Items Excluding Goodwill,,,,,,,,FDX,-114000000.0,-145000000.0,-105000000.0,-229000000.0,-123000000.0,,,,,,,
Net Income From Continuing Operation Net Minority Interest,,,,,,,,FDX,879000000.0,900000000.0,1078000000.0,1538000000.0,771000000.0,,,,,,,
Reconciled Depreciation,,,,,,,,FDX,1072000000.0,1040000000.0,1071000000.0,1075000000.0,1031000000.0,,,,,,,
Reconciled Cost Of Revenue,,,,,,,,FDX,17199000000.0,17588000000.0,16968000000.0,16687000000.0,17594000000.0,,,,,,,
EBITDA,,,,,,,,FDX,2429000000.0,2461000000.0,2661000000.0,3526000000.0,2196000000.0,,,,,,,
EBIT,,,,,,,,FDX,1357000000.0,1421000000.0,1590000000.0,2451000000.0,1165000000.0,,,,,,,
Net Interest Income,,,,,,,,FDX,-91000000.0,-97000000.0,-91000000.0,-105000000.0,-122000000.0,,,,,,,
Normalized Income,,,,,,,,FDX,963702000.0,1008605000.0,1157590000.0,1703508458.646617,863742000.0,,,,,,,
Net Income From Continuing And Discontinued Operation,,,,,,,,FDX,879000000.0,900000000.0,1078000000.0,1538000000.0,771000000.0,,,,,,,
Total Expenses,,,,,,,,FDX,20381000000.0,20744000000.0,20091000000.0,20198000000.0,21004000000.0,,,,,,,
Rent Expense Supplemental,,,,,,,,FDX,1145000000.0,1138000000.0,1151000000.0,1179000000.0,1205000000.0,,,,,,,
Total Operating Income As Reported,,,,,,,,FDX,1243000000.0,1276000000.0,1485000000.0,1503000000.0,1042000000.0,,,,,,,
Diluted Average Shares,,,,,,,,FDX,250000000.0,253000000.0,254000000.0,254214876.0,253000000.0,,,,,,,
Basic Average Shares,,,,,,,,FDX,247000000.0,250000000.0,251000000.0,254000000.0,251000000.0,,,,,,,
Diluted EPS,,,,,,,,FDX,3.51,3.55,4.23,6.05,3.05,,,,,,,
Basic EPS,,,,,,,,FDX,3.55,3.59,4.28,6.055118,3.07,,,,,,,
Diluted NI Availto Com Stockholders,,,,,,,,FDX,878000000.0,898000000.0,1077000000.0,1536000000.0,770000000.0,,,,,,,
Net Income Common Stockholders,,,,,,,,FDX,878000000.0,898000000.0,1077000000.0,1536000000.0,770000000.0,,,,,,,
Otherunder Preferred Stock Dividend,,,,,,,,FDX,1000000.0,2000000.0,1000000.0,2000000.0,1000000.0,,,,,,,
Net Income,,,,,,,,FDX,879000000.0,900000000.0,1078000000.0,1538000000.0,771000000.0,,,,,,,
Net Income Including Noncontrolling Interests,,,,,,,,FDX,879000000.0,900000000.0,1078000000.0,1538000000.0,771000000.0,,,,,,,
Net Income Continuous Operations,,,,,,,,FDX,879000000.0,900000000.0,1078000000.0,1538000000.0,771000000.0,,,,,,,
Tax Provision,,,,,,,,FDX,304000000.0,302000000.0,345000000.0,590000000.0,251000000.0,,,,,,,
Pretax Income,,,,,,,,FDX,1183000000.0,1202000000.0,1423000000.0,2128000000.0,1022000000.0,,,,,,,
Other Income Expense,,,,,,,,FDX,-83000000.0,-122000000.0,-76000000.0,501000000.0,-21000000.0,,,,,,,
Other Non Operating Income Expenses,,,,,,,,FDX,31000000.0,23000000.0,29000000.0,730000000.0,102000000.0,,,,,,,
Special Income Charges,,,,,,,,FDX,-114000000.0,-145000000.0,-105000000.0,-229000000.0,-123000000.0,,,,,,,
Restructuring And Mergern Acquisition,,,,,,,,FDX,114000000.0,145000000.0,105000000.0,112000000.0,123000000.0,,,,,,,
Net Non Operating Interest Income Expense,,,,,,,,FDX,-91000000.0,-97000000.0,-91000000.0,-105000000.0,-122000000.0,,,,,,,
Total Other Finance Cost,,,,,,,,FDX,91000000.0,97000000.0,91000000.0,,122000000.0,127000000.0,,,,,,
Operating Income,,,,,,,,FDX,1357000000.0,1421000000.0,1590000000.0,1732000000.0,1165000000.0,,,,,,,
Operating Expense,,,,,,,,FDX,3182000000.0,3156000000.0,3123000000.0,3511000000.0,3410000000.0,,,,,,,
Other Operating Expenses,,,,,,,,FDX,3182000000.0,3156000000.0,3123000000.0,3511000000.0,3410000000.0,,,,,,,
Gross Profit,,,,,,,,FDX,4539000000.0,4577000000.0,4713000000.0,5243000000.0,4575000000.0,,,,,,,
Cost Of Revenue,,,,,,,,FDX,17199000000.0,17588000000.0,16968000000.0,16687000000.0,17594000000.0,,,,,,,
Total Revenue,,,,,,,,FDX,21738000000.0,22165000000.0,21681000000.0,21930000000.0,22169000000.0,,,,,,,
Operating Revenue,,,,,,,,FDX,21738000000.0,22165000000.0,21681000000.0,21930000000.0,22169000000.0,,,,,,,
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,,NOV,,,,,,,,,,,,
Tax Rate For Calcs,0.267,0.21,0.308,0.108,0.138,,,NOV,,,,,,,,,,,,
Normalized EBITDA,272000000.0,235000000.0,256000000.0,268000000.0,243000000.0,,,NOV,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,119000000.0,598000000.0,114000000.0,155000000.0,126000000.0,,,NOV,,,,,,,,,,,,
Reconciled Depreciation,83000000.0,77000000.0,77000000.0,71000000.0,77000000.0,,,NOV,,,,,,,,,,,,
Reconciled Cost Of Revenue,1697000000.0,1846000000.0,1717000000.0,1636000000.0,1551000000.0,,,NOV,,,,,,,,,,,,
EBITDA,272000000.0,235000000.0,256000000.0,268000000.0,243000000.0,,,NOV,,,,,,,,,,,,
EBIT,189000000.0,158000000.0,179000000.0,197000000.0,166000000.0,,,NOV,,,,,,,,,,,,
Net Interest Income,-16000000.0,-16000000.0,-18000000.0,-13000000.0,-13000000.0,,,NOV,,,,,,,,,,,,
Interest Expense,24000000.0,23000000.0,23000000.0,21000000.0,21000000.0,,,NOV,,,,,,,,,,,,
Interest Income,8000000.0,7000000.0,5000000.0,8000000.0,8000000.0,,,NOV,,,,,,,,,,,,
Normalized Income,119000000.0,598000000.0,114000000.0,155000000.0,126000000.0,,,NOV,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,119000000.0,598000000.0,114000000.0,155000000.0,126000000.0,,,NOV,,,,,,,,,,,,
Total Expenses,1993000000.0,2182000000.0,2002000000.0,1912000000.0,1836000000.0,,,NOV,,,,,,,,,,,,
Total Operating Income As Reported,162000000.0,161000000.0,183000000.0,181000000.0,126000000.0,,,NOV,,,,,,,,,,,,
Diluted Average Shares,397000000.0,397000000.0,396000000.0,395000000.0,396000000.0,,,NOV,,,,,,,,,,,,
Basic Average Shares,394000000.0,393000000.0,393000000.0,393000000.0,392000000.0,,,NOV,,,,,,,,,,,,
Diluted EPS,0.3,1.51,0.29,0.39,0.32,,,NOV,,,,,,,,,,,,
Basic EPS,0.3,1.52,0.29,0.39,0.32,,,NOV,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,119000000.0,598000000.0,114000000.0,155000000.0,126000000.0,,,NOV,,,,,,,,,,,,
Net Income Common Stockholders,119000000.0,598000000.0,114000000.0,155000000.0,126000000.0,,,NOV,,,,,,,,,,,,
Net Income,119000000.0,598000000.0,114000000.0,155000000.0,126000000.0,,,NOV,,,,,,,,,,,,
Minority Interests,-2000000.0,3000000.0,6000000.0,-2000000.0,1000000.0,,,NOV,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,121000000.0,595000000.0,108000000.0,157000000.0,125000000.0,,,NOV,,,,,,,,,,,,
Net Income Continuous Operations,121000000.0,595000000.0,108000000.0,157000000.0,125000000.0,,,NOV,,,,,,,,,,,,
Tax Provision,44000000.0,-460000000.0,48000000.0,19000000.0,20000000.0,,,NOV,,,,,,,,,,,,
Pretax Income,165000000.0,135000000.0,156000000.0,176000000.0,145000000.0,,,NOV,,,,,,,,,,,,
Other Income Expense,19000000.0,-10000000.0,-9000000.0,8000000.0,32000000.0,,,NOV,,,,,,,,,,,,
Other Non Operating Income Expenses,-10000000.0,-28000000.0,-25000000.0,-29000000.0,-16000000.0,,,NOV,,,,,,,,,,,,
Earnings From Equity Interest,29000000.0,18000000.0,16000000.0,37000000.0,48000000.0,,,NOV,,,,,,,,,,,,
Net Non Operating Interest Income Expense,-16000000.0,-16000000.0,-18000000.0,-13000000.0,-13000000.0,,,NOV,,,,,,,,,,,,
Interest Expense Non Operating,24000000.0,23000000.0,23000000.0,21000000.0,21000000.0,,,NOV,,,,,,,,,,,,
Interest Income Non Operating,8000000.0,7000000.0,5000000.0,8000000.0,8000000.0,,,NOV,,,,,,,,,,,,
Operating Income,162000000.0,161000000.0,183000000.0,181000000.0,126000000.0,,,NOV,,,,,,,,,,,,
Operating Expense,296000000.0,336000000.0,285000000.0,276000000.0,285000000.0,,,NOV,,,,,,,,,,,,
Selling General And Administration,296000000.0,336000000.0,285000000.0,276000000.0,285000000.0,,,NOV,,,,,,,,,,,,
Gross Profit,458000000.0,497000000.0,468000000.0,457000000.0,411000000.0,,,NOV,,,,,,,,,,,,
Cost Of Revenue,1697000000.0,1846000000.0,1717000000.0,1636000000.0,1551000000.0,,,NOV,,,,,,,,,,,,
Total Revenue,2155000000.0,2343000000.0,2185000000.0,2093000000.0,1962000000.0,,,NOV,,,,,,,,,,,,
Operating Revenue,2155000000.0,2343000000.0,2185000000.0,2093000000.0,1962000000.0,,,NOV,,,,,,,,,,,,
Tax Effect Of Unusual Items,,21797423.280785,20602126.975813,37809190.366832,44349686.252139,4002812.018991,,CIG,,,,,,,,,,,,
Tax Rate For Calcs,,0.058117,0.163781,0.229095,0.20251,0.112701,,CIG,,,,,,,,,,,,
Normalized EBITDA,,1529017000.0,2558853000.0,2019052000.0,2079000000.0,3600540000.0,,CIG,,,,,,,,,,,,
Total Unusual Items,,375059000.0,125791000.0,165037000.0,219000000.0,35517000.0,,CIG,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,,375059000.0,125791000.0,165037000.0,219000000.0,35517000.0,,CIG,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,,1884472000.0,1237307000.0,1244683000.0,1398000000.0,1405291000.0,,CIG,,,,,,,,,,,,
Reconciled Depreciation,,-256698000.0,923000000.0,304698000.0,303000000.0,312000000.0,,CIG,,,,,,,,,,,,
Reconciled Cost Of Revenue,,8299594000.0,6157501000.0,6499389000.0,6858000000.0,6005202000.0,,CIG,,,,,,,,,,,,
EBITDA,,1904076000.0,2684644000.0,2184089000.0,2298000000.0,3636057000.0,,CIG,,,,,,,,,,,,
EBIT,,2160774000.0,1761644000.0,1879391000.0,1995000000.0,3324057000.0,,CIG,,,,,,,,,,,,
Net Interest Income,,-182721000.0,-295000000.0,-125375000.0,-252000000.0,-1587203000.0,,CIG,,,,,,,,,,,,
Interest Expense,,158290000.0,282000000.0,263910000.0,242000000.0,1738849000.0,,CIG,,,,,,,,,,,,
Interest Income,,,,215951000.0,,443772000.0,70000000.0,CIG,,,,,,,,,,,,
Normalized Income,,1531210423.280785,1132118126.975813,1117455190.366832,1223349686.252139,1373776812.018991,,CIG,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,,1884472000.0,1237307000.0,1244683000.0,1398000000.0,1405291000.0,,CIG,,,,,,,,,,,,
Total Expenses,,8287873000.0,7848840000.0,7313462000.0,6901000000.0,-1809618000.0,,CIG,,,,,,,,,,,,
Total Operating Income As Reported,,,,1575671000.0,,,1502000000.0,CIG,,,,,,,,,,,,
Diluted Average Shares,,2860681881.0,2860681881.0,2183654386.0,2860681881.0,2860681881.0,,CIG,,,,,,,,,,,,
Basic Average Shares,,2860681881.0,2860681881.0,2183654386.0,2860681881.0,2860681881.0,,CIG,,,,,,,,,,,,
Diluted EPS,,0.659283,0.432522,0.57,0.488695,0.491841,,CIG,,,,,,,,,,,,
Basic EPS,,0.659283,0.432522,0.57,0.488695,0.491841,,CIG,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,,1884472000.0,1237307000.0,1244683000.0,1398000000.0,1405291000.0,,CIG,,,,,,,,,,,,
Net Income Common Stockholders,,1884472000.0,1237307000.0,1244683000.0,1398000000.0,1405291000.0,,CIG,,,,,,,,,,,,
Net Income,,1884472000.0,1237307000.0,1244683000.0,1398000000.0,1405291000.0,,CIG,,,,,,,,,,,,
Minority Interests,,,,-699000.0,,,-485000.0,CIG,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,,1886105000.0,1237307000.0,1245382000.0,1398000000.0,1406553000.0,,CIG,,,,,,,,,,,,
Net Income Continuous Operations,,1886105000.0,1237307000.0,1245382000.0,1398000000.0,1406553000.0,,CIG,,,,,,,,,,,,
Tax Provision,,116379000.0,242337000.0,370099000.0,355000000.0,178655000.0,,CIG,,,,,,,,,,,,
Pretax Income,,2002484000.0,1479644000.0,1615481000.0,1753000000.0,1585208000.0,,CIG,,,,,,,,,,,,
Other Income Expense,,516309000.0,196707000.0,234801000.0,259000000.0,116621000.0,,CIG,,,,,,,,,,,,
Other Non Operating Income Expenses,,,,483000.0,-113000000.0,,,CIG,,,,,,,,,,,,
Special Income Charges,,-45791000.0,45791000.0,335000.0,30000000.0,-130644000.0,,CIG,,,,,,,,,,,,
Gain On Sale Of Ppe,,,0.0,,30000000.0,,8641000.0,CIG,,,,,,,,,,,,
Gain On Sale Of Business,,,,0.0,,,,CIG,,,,,,,,,,,,
Write Off,,45791000.0,-45791000.0,-335000.0,,,37686000.0,CIG,,,,,,,,,,,,
Restructuring And Mergern Acquisition,,,,,,,-9000000.0,CIG,,,,,,,,,,,,
Earnings From Equity Interest,,138762000.0,70916000.0,69281000.0,153000000.0,76104000.0,,CIG,,,,,,,,,,,,
Gain On Sale Of Security,,420850000.0,80000000.0,164702000.0,189000000.0,166161000.0,,CIG,,,,,,,,,,,,
Net Non Operating Interest Income Expense,,-182721000.0,-295000000.0,-125375000.0,-252000000.0,-1587203000.0,,CIG,,,,,,,,,,,,
Total Other Finance Cost,,-25481000.0,13000000.0,77416000.0,10000000.0,292126000.0,,CIG,,,,,,,,,,,,
Interest Expense Non Operating,,158290000.0,282000000.0,263910000.0,242000000.0,1738849000.0,,CIG,,,,,,,,,,,,
Interest Income Non Operating,,,,215951000.0,,443772000.0,70000000.0,CIG,,,,,,,,,,,,
Operating Income,,1669044000.0,1577789000.0,1506055000.0,1746000000.0,10988790000.0,,CIG,,,,,,,,,,,,
Operating Expense,,-52067000.0,1085032000.0,513318000.0,43000000.0,-7814820000.0,,CIG,,,,,,,,,,,,
Other Operating Expenses,,-111257000.0,253466000.0,149458000.0,,,179158000.0,CIG,,,,,,,,,,,,
Other Taxes,,,,,43000000.0,,,CIG,,,,,,,,,,,,
Provision For Doubtful Accounts,,,,21266000.0,,,-85356000.0,CIG,,,,,,,,,,,,
Depreciation Amortization Depletion Income Statement,,-297044000.0,316693000.0,3943000.0,,,297607000.0,CIG,,,,,,,,,,,,
Depreciation And Amortization In Income Statement,,-297044000.0,316693000.0,3943000.0,,,297607000.0,CIG,,,,,,,,,,,,
Selling General And Administration,,214217000.0,514873000.0,338651000.0,,,388852000.0,CIG,,,,,,,,,,,,
General And Administrative Expense,,214217000.0,514873000.0,338651000.0,,,388852000.0,CIG,,,,,,,,,,,,
Other Gand A,,,,62334000.0,,,123605000.0,CIG,,,,,,,,,,,,
Salaries And Wages,,47803000.0,514873000.0,276317000.0,,,388852000.0,CIG,,,,,,,,,,,,
Gross Profit,,1616977000.0,2662821000.0,2019373000.0,1789000000.0,3173970000.0,,CIG,,,,,,,,,,,,
Cost Of Revenue,,8339940000.0,6763808000.0,6800144000.0,6858000000.0,6005202000.0,,CIG,,,,,,,,,,,,
Total Revenue,,9956917000.0,9426629000.0,8819517000.0,8647000000.0,9179172000.0,,CIG,,,,,,,,,,,,
Excise Taxes,,,,,,-718509000.0,2909994000.0,CIG,,,,,,,,,,,,
Operating Revenue,,12007625000.0,12087629000.0,11041750000.0,10904000000.0,10825885000.0,,CIG,,,,,,,,,,,,
Tax Effect Of Unusual Items,,,,,,,,TGT,,,,,,,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,,,,,,,,TGT,,,,,,,0.226204,0.213,0.222,0.211,0.160115,
Normalized EBITDA,,,,,,,,TGT,,,,,,,2622000000.0,2064000000.0,1896000000.0,2018000000.0,1868000000.0,
Net Income From Continuing Operation Net Minority Interest,,,,,,,,TGT,,,,,,,1382000000.0,971000000.0,835000000.0,950000000.0,876000000.0,
Reconciled Depreciation,,,,,,,,TGT,,,,,,,729000000.0,722000000.0,683000000.0,667000000.0,696000000.0,
Reconciled Cost Of Revenue,,,,,,,,TGT,,,,,,,23296000000.0,18043000000.0,17709000000.0,18302000000.0,23865000000.0,
EBITDA,,,,,,,,TGT,,,,,,,2622000000.0,2064000000.0,1896000000.0,2018000000.0,1868000000.0,
EBIT,,,,,,,,TGT,,,,,,,1893000000.0,1342000000.0,1213000000.0,1351000000.0,1172000000.0,
Net Interest Income,,,,,,,,TGT,,,,,,,-107000000.0,-107000000.0,-141000000.0,-147000000.0,-129000000.0,
Interest Expense,,,,,,,,TGT,,,,,,,107000000.0,107000000.0,141000000.0,147000000.0,129000000.0,
Normalized Income,,,,,,,,TGT,,,,,,,1382000000.0,971000000.0,835000000.0,950000000.0,876000000.0,
Net Income From Continuing And Discontinued Operation,,,,,,,,TGT,,,,,,,1382000000.0,971000000.0,835000000.0,950000000.0,876000000.0,
Total Expenses,,,,,,,,TGT,,,,,,,30054000000.0,24081000000.0,23576000000.0,23994000000.0,30236000000.0,
Total Operating Income As Reported,,,,,,,,TGT,,,,,,,1865000000.0,1317000000.0,1197000000.0,1328000000.0,1159000000.0,
Diluted Average Shares,,,,,,,,TGT,,,,,,,463100000.0,462600000.0,462500000.0,462900000.0,462700000.0,
Basic Average Shares,,,,,,,,TGT,,,,,,,461700000.0,461600000.0,461600000.0,460900000.0,460300000.0,
Diluted EPS,,,,,,,,TGT,,,,,,,2.98,2.1,1.8,2.05,1.89,
Basic EPS,,,,,,,,TGT,,,,,,,2.99,2.1,1.81,2.06,1.9,
Diluted NI Availto Com Stockholders,,,,,,,,TGT,,,,,,,1382000000.0,971000000.0,835000000.0,950000000.0,876000000.0,
Net Income Common Stockholders,,,,,,,,TGT,,,,,,,1382000000.0,971000000.0,835000000.0,950000000.0,876000000.0,
Net Income,,,,,,,,TGT,,,,,,,1382000000.0,971000000.0,835000000.0,950000000.0,876000000.0,
Net Income Including Noncontrolling Interests,,,,,,,,TGT,,,,,,,1382000000.0,971000000.0,835000000.0,950000000.0,876000000.0,
Net Income Continuous Operations,,,,,,,,TGT,,,,,,,1382000000.0,971000000.0,835000000.0,950000000.0,876000000.0,
Tax Provision,,,,,,,,TGT,,,,,,,404000000.0,264000000.0,237000000.0,254000000.0,167000000.0,
