metric,2024-03-31 00:00:00,2023-12-31 00:00:00,2023-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,stock,2024-02-29 00:00:00,2023-11-30 00:00:00,2023-08-31 00:00:00,2023-05-31 00:00:00,2023-02-28 00:00:00,2022-11-30 00:00:00,2022-08-31 00:00:00,2024-01-31 00:00:00,2023-10-31 00:00:00,2023-07-31 00:00:00,2023-04-30 00:00:00,2023-01-31 00:00:00,2022-10-31 00:00:00
Purchase Of Investment,-187000.0,0.0,-3000.0,-360000.0,-790000.0,,,DOLE,,,,,,,,,,,,,
Net Business Purchase And Sale,115471000.0,-1486000.0,-262000.0,-9000.0,1507000.0,,,DOLE,,,,,,,,,,,,,
Sale Of Business,115845000.0,,,,0.0,421000.0,0.0,DOLE,,,,,,,,,,,,,
Purchase Of Business,,-1001000.0,,-280000.0,-1405000.0,-2649000.0,-764000.0,DOLE,,,,,,,,,,,,,
Capital Expenditure Reported,-18238000.0,-26707000.0,-10329000.0,-23396000.0,-17609000.0,,,DOLE,,,,,,,,,,,,,
Operating Cash Flow,-34956000.0,141471000.0,83288000.0,61199000.0,12647000.0,,,DOLE,,,,,,,,,,,,,
Cash Flow From Continuing Operating Activities,-34956000.0,141471000.0,83288000.0,61199000.0,12647000.0,,,DOLE,,,,,,,,,,,,,
Dividend Received Cfo,,3038000.0,1245000.0,5105000.0,0.0,2185000.0,,DOLE,,,,,,,,,,,,,
Change In Working Capital,-81851000.0,85948000.0,26067000.0,59000.0,-47091000.0,,,DOLE,,,,,,,,,,,,,
Change In Other Current Liabilities,,,,,,,7921000.0,DOLE,,,,,,,,,,,,,
Change In Payables And Accrued Expense,86359000.0,,,-49320000.0,-30639000.0,-30981000.0,39047000.0,DOLE,,,,,,,,,,,,,
Change In Accrued Expense,,,,-47862000.0,-32097000.0,-30981000.0,39047000.0,DOLE,,,,,,,,,,,,,
Change In Payable,86359000.0,,,,-30639000.0,,,DOLE,,,,,,,,,,,,,
Change In Account Payable,86359000.0,,,,-30639000.0,,,DOLE,,,,,,,,,,,,,
Change In Prepaid Assets,-1443000.0,33944000.0,,,-174000.0,,,DOLE,,,,,,,,,,,,,
Change In Inventory,-43605000.0,-5954000.0,-29113000.0,65591000.0,-9836000.0,,,DOLE,,,,,,,,,,,,,
Change In Receivables,-123162000.0,44936000.0,36686000.0,-16386000.0,-6442000.0,,,DOLE,,,,,,,,,,,,,
Other Non Cash Items,-3067000.0,11988000.0,-2366000.0,2536000.0,-1500000.0,,,DOLE,,,,,,,,,,,,,
Stock Based Compensation,1832000.0,1664000.0,1613000.0,1438000.0,1330000.0,,,DOLE,,,,,,,,,,,,,
Asset Impairment Charge,37961000.0,,,,0.0,-2162000.0,-654000.0,DOLE,,,,,,,,,,,,,
Deferred Tax,-11062000.0,-853000.0,-10690000.0,-2538000.0,1481000.0,,,DOLE,,,,,,,,,,,,,
Deferred Income Tax,-11062000.0,-853000.0,-10690000.0,-2538000.0,1481000.0,,,DOLE,,,,,,,,,,,,,
Depreciation Amortization Depletion,24121000.0,27260000.0,18901000.0,31088000.0,26919000.0,,,DOLE,,,,,,,,,,,,,
Depreciation And Amortization,24121000.0,27260000.0,18901000.0,31088000.0,26919000.0,,,DOLE,,,,,,,,,,,,,
Operating Gains Losses,-74377000.0,-10710000.0,-33083000.0,-14290000.0,-3481000.0,,,DOLE,,,,,,,,,,,,,
Pension And Employee Benefit Expense,992000.0,3575000.0,1069000.0,1121000.0,1970000.0,,,DOLE,,,,,,,,,,,,,
Earnings Losses From Equity Investments,-1002000.0,-3683000.0,-5342000.0,-4688000.0,-1478000.0,,,DOLE,,,,,,,,,,,,,
Gain Loss On Investment Securities,,,,,,8649000.0,3155000.0,DOLE,,,,,,,,,,,,,
Gain Loss On Sale Of Business,-73950000.0,,,,0.0,50000.0,0.0,DOLE,,,,,,,,,,,,,
Net Income From Continuing Operations,71487000.0,23136000.0,81601000.0,37801000.0,34989000.0,,,DOLE,,,,,,,,,,,,,
Free Cash Flow,,,,,,,,FDX,231000000.0,469000000.0,940000000.0,1693000000.0,998000000.0,,,,,,,,
Repurchase Of Capital Stock,,,,,,,,FDX,-1000000000.0,-500000000.0,-500000000.0,0.0,0.0,,,,,,,,
Repayment Of Debt,,,,,,,,FDX,-49000000.0,-28000000.0,-66000000.0,-29000000.0,-91000000.0,,,,,,,,
Issuance Of Capital Stock,,,,,,,,FDX,54000000.0,54000000.0,157000000.0,117000000.0,25000000.0,,,,,,,,
Capital Expenditure,,,,,,,,FDX,-1379000000.0,-1305000000.0,-1290000000.0,-1754000000.0,-1278000000.0,,,,,,,,
End Cash Position,,,,,,,,FDX,5644000000.0,6729000000.0,7055000000.0,6856000000.0,5373000000.0,,,,,,,,
Beginning Cash Position,,,,,,,,FDX,6729000000.0,7055000000.0,6856000000.0,5373000000.0,4646000000.0,,,,,,,,
Effect Of Exchange Rate Changes,,,,,,,,FDX,-21000000.0,19000000.0,-24000000.0,-19000000.0,37000000.0,,,,,,,,
Changes In Cash,,,,,,,,FDX,-1064000000.0,-345000000.0,223000000.0,1502000000.0,690000000.0,,,,,,,,
Financing Cash Flow,,,,,,,,FDX,-1316000000.0,-791000000.0,-727000000.0,-201000000.0,-356000000.0,,,,,,,,
Cash Flow From Continuing Financing Activities,,,,,,,,FDX,-1316000000.0,-791000000.0,-727000000.0,-201000000.0,-356000000.0,,,,,,,,
Net Other Financing Charges,,,,,,,,FDX,,,,0.0,0.0,,,,,,,,
Cash Dividends Paid,,,,,,,,FDX,-314000000.0,-317000000.0,-318000000.0,-289000000.0,-290000000.0,,,,,,,,
Common Stock Dividend Paid,,,,,,,,FDX,-314000000.0,-317000000.0,-318000000.0,-289000000.0,-290000000.0,,,,,,,,
Net Common Stock Issuance,,,,,,,,FDX,-946000000.0,-446000000.0,-343000000.0,117000000.0,25000000.0,,,,,,,,
Common Stock Payments,,,,,,,,FDX,-1000000000.0,-500000000.0,-500000000.0,0.0,0.0,,,,,,,,
Common Stock Issuance,,,,,,,,FDX,54000000.0,54000000.0,157000000.0,117000000.0,25000000.0,,,,,,,,
Net Issuance Payments Of Debt,,,,,,,,FDX,-49000000.0,-28000000.0,-66000000.0,-29000000.0,-91000000.0,,,,,,,,
Net Long Term Debt Issuance,,,,,,,,FDX,-49000000.0,-28000000.0,-66000000.0,-29000000.0,-91000000.0,,,,,,,,
Long Term Debt Payments,,,,,,,,FDX,-49000000.0,-28000000.0,-66000000.0,-29000000.0,-91000000.0,,,,,,,,
Investing Cash Flow,,,,,,,,FDX,-1358000000.0,-1328000000.0,-1280000000.0,-1744000000.0,-1230000000.0,,,,,,,,
Cash Flow From Continuing Investing Activities,,,,,,,,FDX,-1358000000.0,-1328000000.0,-1280000000.0,-1744000000.0,-1230000000.0,,,,,,,,
Net Other Investing Changes,,,,,,,,FDX,32000000.0,50000000.0,12000000.0,12000000.0,52000000.0,,,,,,,,
Net Investment Purchase And Sale,,,,,,,,FDX,-11000000.0,-73000000.0,-2000000.0,-2000000.0,-4000000.0,,,,,,,,
Purchase Of Investment,,,,,,,,FDX,-35000000.0,-73000000.0,-2000000.0,-2000000.0,-4000000.0,,,,,,,,
Capital Expenditure Reported,,,,,,,,FDX,-1379000000.0,-1305000000.0,-1290000000.0,-1754000000.0,-1278000000.0,,,,,,,,
Operating Cash Flow,,,,,,,,FDX,1610000000.0,1774000000.0,2230000000.0,3447000000.0,2276000000.0,,,,,,,,
Cash Flow From Continuing Operating Activities,,,,,,,,FDX,1610000000.0,1774000000.0,2230000000.0,3447000000.0,2276000000.0,,,,,,,,
Change In Working Capital,,,,,,,,FDX,-1174000000.0,-1063000000.0,-733000000.0,117000000.0,-567000000.0,,,,,,,,
Change In Other Working Capital,,,,,,,,FDX,-6000000.0,-18000000.0,-6000000.0,-653000000.0,-16000000.0,,,,,,,,
Change In Other Current Assets,,,,,,,,FDX,-9000000.0,21000000.0,-131000000.0,158000000.0,104000000.0,,,,,,,,
Change In Payables And Accrued Expense,,,,,,,,FDX,-1736000000.0,-505000000.0,-470000000.0,203000000.0,-1540000000.0,,,,,,,,
Change In Payable,,,,,,,,FDX,-1736000000.0,-505000000.0,-470000000.0,203000000.0,-1540000000.0,,,,,,,,
Change In Account Payable,,,,,,,,FDX,-1736000000.0,-505000000.0,-470000000.0,203000000.0,-1540000000.0,,,,,,,,
Change In Receivables,,,,,,,,FDX,577000000.0,-561000000.0,-126000000.0,409000000.0,885000000.0,,,,,,,,
Other Non Cash Items,,,,,,,,FDX,692000000.0,744000000.0,655000000.0,1070000000.0,896000000.0,,,,,,,,
Stock Based Compensation,,,,,,,,FDX,34000000.0,40000000.0,56000000.0,40000000.0,34000000.0,,,,,,,,
Provisionand Write Offof Assets,,,,,,,,FDX,107000000.0,113000000.0,103000000.0,160000000.0,111000000.0,,,,,,,,
Depreciation Amortization Depletion,,,,,,,,FDX,1072000000.0,1040000000.0,1071000000.0,1075000000.0,1031000000.0,,,,,,,,
Depreciation And Amortization,,,,,,,,FDX,1072000000.0,1040000000.0,1071000000.0,1075000000.0,1031000000.0,,,,,,,,
Operating Gains Losses,,,,,,,,FDX,,,,-670000000.0,60000000.0,-26000000.0,-14000000.0,,,,,,
Pension And Employee Benefit Expense,,,,,,,,FDX,,,,-670000000.0,60000000.0,-26000000.0,-14000000.0,,,,,,
Net Income From Continuing Operations,,,,,,,,FDX,879000000.0,900000000.0,1078000000.0,1538000000.0,771000000.0,,,,,,,,
Free Cash Flow,-147000000.0,301000000.0,-34000000.0,-148000000.0,-259000000.0,,,NOV,,,,,,,,,,,,,
Repayment Of Debt,,32000000.0,-37000000.0,1000000.0,-6000000.0,14000000.0,,NOV,,,,,,,,,,,,,
Issuance Of Debt,,-20000000.0,20000000.0,1000000.0,1000000.0,4000000.0,,NOV,,,,,,,,,,,,,
Capital Expenditure,-69000000.0,-76000000.0,-74000000.0,-76000000.0,-57000000.0,,,NOV,,,,,,,,,,,,,
Interest Paid Supplemental Data,6000000.0,40000000.0,4000000.0,37000000.0,4000000.0,,,NOV,,,,,,,,,,,,,
Income Tax Paid Supplemental Data,28000000.0,31000000.0,31000000.0,32000000.0,20000000.0,,,NOV,,,,,,,,,,,,,
End Cash Position,468000000.0,816000000.0,513000000.0,592000000.0,774000000.0,,,NOV,,,,,,,,,,,,,
Beginning Cash Position,816000000.0,513000000.0,592000000.0,774000000.0,1069000000.0,,,NOV,,,,,,,,,,,,,
Effect Of Exchange Rate Changes,-2000000.0,5000000.0,-3000000.0,-2000000.0,0.0,,,NOV,,,,,,,,,,,,,
Changes In Cash,-346000000.0,298000000.0,-76000000.0,-180000000.0,-295000000.0,,,NOV,,,,,,,,,,,,,
Financing Cash Flow,43000000.0,3000000.0,-33000000.0,-32000000.0,-41000000.0,,,NOV,,,,,,,,,,,,,
Cash Flow From Continuing Financing Activities,43000000.0,3000000.0,-33000000.0,-32000000.0,-41000000.0,,,NOV,,,,,,,,,,,,,
Net Other Financing Charges,-14000000.0,33000000.0,-7000000.0,-3000000.0,-16000000.0,,,NOV,,,,,,,,,,,,,
Cash Dividends Paid,-20000000.0,-19000000.0,-20000000.0,-20000000.0,-20000000.0,,,NOV,,,,,,,,,,,,,
Common Stock Dividend Paid,-20000000.0,-19000000.0,-20000000.0,-20000000.0,-20000000.0,,,NOV,,,,,,,,,,,,,
Net Issuance Payments Of Debt,77000000.0,-11000000.0,-6000000.0,-9000000.0,-5000000.0,,,NOV,,,,,,,,,,,,,
Net Short Term Debt Issuance,,-5000000.0,0.0,-4000000.0,1000000.0,0.0,,NOV,,,,,,,,,,,,,
Short Term Debt Payments,,15000000.0,-20000000.0,,,-4000000.0,0.0,NOV,,,,,,,,,,,,,
Short Term Debt Issuance,,-20000000.0,20000000.0,1000000.0,1000000.0,4000000.0,,NOV,,,,,,,,,,,,,
Net Long Term Debt Issuance,77000000.0,-11000000.0,-6000000.0,-9000000.0,-5000000.0,,,NOV,,,,,,,,,,,,,
Long Term Debt Payments,,32000000.0,-37000000.0,1000000.0,-6000000.0,14000000.0,,NOV,,,,,,,,,,,,,
Long Term Debt Issuance,,-20000000.0,20000000.0,1000000.0,1000000.0,4000000.0,,NOV,,,,,,,,,,,,,
Investing Cash Flow,-311000000.0,-82000000.0,-83000000.0,-76000000.0,-52000000.0,,,NOV,,,,,,,,,,,,,
Cash Flow From Continuing Investing Activities,-311000000.0,-82000000.0,-83000000.0,-76000000.0,-52000000.0,,,NOV,,,,,,,,,,,,,
Net Other Investing Changes,1000000.0,16000000.0,-9000000.0,0.0,5000000.0,,,NOV,,,,,,,,,,,,,
Net Business Purchase And Sale,-243000000.0,,,,0.0,,,NOV,,,,,,,,,,,,,
Purchase Of Business,-243000000.0,,,,0.0,,,NOV,,,,,,,,,,,,,
Net PPE Purchase And Sale,-69000000.0,-76000000.0,-74000000.0,-76000000.0,-57000000.0,,,NOV,,,,,,,,,,,,,
Purchase Of PPE,-69000000.0,-76000000.0,-74000000.0,-76000000.0,-57000000.0,,,NOV,,,,,,,,,,,,,
Operating Cash Flow,-78000000.0,377000000.0,40000000.0,-72000000.0,-202000000.0,,,NOV,,,,,,,,,,,,,
Cash Flow From Continuing Operating Activities,-78000000.0,377000000.0,40000000.0,-72000000.0,-202000000.0,,,NOV,,,,,,,,,,,,,
Change In Working Capital,-311000000.0,200000000.0,-140000000.0,-273000000.0,-371000000.0,,,NOV,,,,,,,,,,,,,
Change In Other Working Capital,12000000.0,154000000.0,23000000.0,84000000.0,6000000.0,,,NOV,,,,,,,,,,,,,
Change In Payables And Accrued Expense,-265000000.0,23000000.0,-24000000.0,30000000.0,-155000000.0,,,NOV,,,,,,,,,,,,,
Change In Accrued Expense,-144000000.0,54000000.0,37000000.0,-6000000.0,-201000000.0,,,NOV,,,,,,,,,,,,,
Change In Payable,-121000000.0,-31000000.0,-61000000.0,36000000.0,46000000.0,,,NOV,,,,,,,,,,,,,
Change In Account Payable,-105000000.0,-21000000.0,-82000000.0,46000000.0,53000000.0,,,NOV,,,,,,,,,,,,,
Change In Tax Payable,-16000000.0,-10000000.0,21000000.0,-10000000.0,-7000000.0,,,NOV,,,,,,,,,,,,,
Change In Income Tax Payable,-16000000.0,-10000000.0,21000000.0,-10000000.0,-7000000.0,,,NOV,,,,,,,,,,,,,
Change In Prepaid Assets,-32000000.0,-18000000.0,14000000.0,-26000000.0,-10000000.0,,,NOV,,,,,,,,,,,,,
Change In Inventory,-20000000.0,118000000.0,-86000000.0,-172000000.0,-221000000.0,,,NOV,,,,,,,,,,,,,
Change In Receivables,-6000000.0,-77000000.0,-67000000.0,-189000000.0,9000000.0,,,NOV,,,,,,,,,,,,,
Changes In Account Receivables,69000000.0,-11000000.0,-97000000.0,-122000000.0,-39000000.0,,,NOV,,,,,,,,,,,,,
Other Non Cash Items,14000000.0,-14000000.0,-18000000.0,-16000000.0,-2000000.0,,,NOV,,,,,,,,,,,,,
Stock Based Compensation,19000000.0,17000000.0,17000000.0,17000000.0,15000000.0,,,NOV,,,,,,,,,,,,,
Provisionand Write Offof Assets,0.0,7000000.0,7000000.0,10000000.0,4000000.0,,,NOV,,,,,,,,,,,,,
Asset Impairment Charge,,0.0,,,,2000000.0,,NOV,,,,,,,,,,,,,
Deferred Tax,25000000.0,-487000000.0,1000000.0,-1000000.0,-2000000.0,,,NOV,,,,,,,,,,,,,
Deferred Income Tax,25000000.0,-487000000.0,1000000.0,-1000000.0,-2000000.0,,,NOV,,,,,,,,,,,,,
Depreciation Amortization Depletion,83000000.0,77000000.0,77000000.0,71000000.0,77000000.0,,,NOV,,,,,,,,,,,,,
Depreciation And Amortization,83000000.0,77000000.0,77000000.0,71000000.0,77000000.0,,,NOV,,,,,,,,,,,,,
Operating Gains Losses,-29000000.0,-18000000.0,-16000000.0,-37000000.0,-48000000.0,,,NOV,,,,,,,,,,,,,
Earnings Losses From Equity Investments,-29000000.0,-18000000.0,-16000000.0,-37000000.0,-48000000.0,,,NOV,,,,,,,,,,,,,
Net Income From Continuing Operations,121000000.0,595000000.0,108000000.0,157000000.0,125000000.0,,,NOV,,,,,,,,,,,,,
Free Cash Flow,,2531064000.0,516000000.0,2108936000.0,226000000.0,3088000000.0,,CIG,,,,,,,,,,,,,
Repayment Of Debt,,-1375547000.0,-771000000.0,-154453000.0,-445000000.0,-1490000000.0,,CIG,,,,,,,,,,,,,
Issuance Of Debt,,-1987311000.0,1987000000.0,1988311000.0,0.0,993000000.0,,CIG,,,,,,,,,,,,,
Capital Expenditure,,,-4251000000.0,,-731000000.0,,-2339000000.0,CIG,,,,,,,,,,,,,
End Cash Position,,1537000000.0,2356000000.0,2182819000.0,1600000000.0,1441000000.0,,CIG,,,,,,,,,,,,,
Beginning Cash Position,,2356000000.0,1441000000.0,1600000000.0,1441000000.0,1991000000.0,,CIG,,,,,,,,,,,,,
Changes In Cash,,-1561158000.0,915000000.0,583158000.0,159000000.0,-550000000.0,,CIG,,,,,,,,,,,,,
Financing Cash Flow,,-3361765000.0,304000000.0,921765000.0,-445000000.0,-1556000000.0,,CIG,,,,,,,,,,,,,
Cash Flow From Continuing Financing Activities,,-3361765000.0,304000000.0,921765000.0,-445000000.0,-1556000000.0,,CIG,,,,,,,,,,,,,
Interest Paid Cff,,,,,,,-99010000.0,CIG,,,,,,,,,,,,,
Cash Dividends Paid,,1093000.0,-912000000.0,-912093000.0,0.0,-1059000000.0,,CIG,,,,,,,,,,,,,
Net Issuance Payments Of Debt,,-3362858000.0,1216000000.0,1833858000.0,-445000000.0,-497000000.0,,CIG,,,,,,,,,,,,,
Net Long Term Debt Issuance,,-3362858000.0,1216000000.0,1833858000.0,-445000000.0,-497000000.0,,CIG,,,,,,,,,,,,,
Long Term Debt Payments,,-1375547000.0,-771000000.0,-154453000.0,-445000000.0,-1490000000.0,,CIG,,,,,,,,,,,,,
Long Term Debt Issuance,,-1987311000.0,1987000000.0,1988311000.0,0.0,993000000.0,,CIG,,,,,,,,,,,,,
Investing Cash Flow,,2656396000.0,-4155000000.0,-2117396000.0,-353000000.0,-35000000.0,,CIG,,,,,,,,,,,,,
Cash Flow From Continuing Investing Activities,,2656396000.0,-4155000000.0,-2117396000.0,-353000000.0,-35000000.0,,CIG,,,,,,,,,,,,,
Net Other Investing Changes,,,,,,,-1038521000.0,CIG,,,,,,,,,,,,,
Net Investment Purchase And Sale,,829956000.0,96000000.0,-961956000.0,378000000.0,1030000000.0,,CIG,,,,,,,,,,,,,
Net Business Purchase And Sale,,,,,,,-27187000.0,CIG,,,,,,,,,,,,,
Sale Of Business,,,,,,,0.0,CIG,,,,,,,,,,,,,
Purchase Of Business,,,,,,,-27187000.0,CIG,,,,,,,,,,,,,
Net Intangibles Purchase And Sale,,4124873000.0,-4251000000.0,,,,-2339000000.0,CIG,,,,,,,,,,,,,
Net PPE Purchase And Sale,,,,392020000.0,-731000000.0,2166000000.0,-2292023000.0,CIG,,,,,,,,,,,,,
Operating Cash Flow,,-856789000.0,4767000000.0,1778789000.0,957000000.0,1041000000.0,,CIG,,,,,,,,,,,,,
Cash Flow From Continuing Operating Activities,,-856789000.0,4767000000.0,1778789000.0,957000000.0,4969000000.0,,CIG,,,,,,,,,,,,,
Taxes Refund Paid,,,,,,,-60993000.0,CIG,,,,,,,,,,,,,
Interest Paid Cfo,,-33565000.0,-521000000.0,-378435000.0,-98000000.0,-476000000.0,,CIG,,,,,,,,,,,,,
Change In Working Capital,,-267146000.0,314000000.0,1000146000.0,17000000.0,8295000000.0,,CIG,,,,,,,,,,,,,
Change In Other Working Capital,,79661000.0,35000000.0,-86661000.0,17000000.0,-416000000.0,,CIG,,,,,,,,,,,,,
Change In Other Current Liabilities,,,,,,,310364000.0,CIG,,,,,,,,,,,,,
Change In Other Current Assets,,,,,,,659410000.0,CIG,,,,,,,,,,,,,
Change In Payables And Accrued Expense,,,,,,,747378000.0,CIG,,,,,,,,,,,,,
Change In Accrued Expense,,,,,,,-3225000.0,CIG,,,,,,,,,,,,,
Change In Payable,,,,,,,750603000.0,CIG,,,,,,,,,,,,,
Change In Account Payable,,,,,,,355156000.0,CIG,,,,,,,,,,,,,
Change In Tax Payable,,,,,,,395447000.0,CIG,,,,,,,,,,,,,
Change In Income Tax Payable,,,,,,,395447000.0,CIG,,,,,,,,,,,,,
Change In Receivables,,-1064051000.0,279000000.0,1032051000.0,0.0,1719000000.0,,CIG,,,,,,,,,,,,,
Changes In Account Receivables,,,,,,,-150602000.0,CIG,,,,,,,,,,,,,
Other Non Cash Items,,1216352000.0,-1096000000.0,51648000.0,-537000000.0,-4996000000.0,,CIG,,,,,,,,,,,,,
Provisionand Write Offof Assets,,-78256000.0,407000000.0,146256000.0,119000000.0,186000000.0,,CIG,,,,,,,,,,,,,
Asset Impairment Charge,,,,,,,-7558000.0,CIG,,,,,,,,,,,,,
Deferred Tax,,-2079253000.0,1092000000.0,267253000.0,-105000000.0,-3452000000.0,,CIG,,,,,,,,,,,,,
Deferred Income Tax,,-2079253000.0,1092000000.0,267253000.0,-105000000.0,-3452000000.0,,CIG,,,,,,,,,,,,,
Depreciation Amortization Depletion,,-256698000.0,923000000.0,304698000.0,303000000.0,312000000.0,,CIG,,,,,,,,,,,,,
Depreciation And Amortization,,-256698000.0,923000000.0,304698000.0,303000000.0,312000000.0,,CIG,,,,,,,,,,,,,
Operating Gains Losses,,109074000.0,-233000000.0,23926000.0,-140000000.0,-485000000.0,,CIG,,,,,,,,,,,,,
Pension And Employee Benefit Expense,,,,,,,167520000.0,CIG,,,,,,,,,,,,,
Earnings Losses From Equity Investments,,,,,,-75000000.0,-247104000.0,CIG,,,,,,,,,,,,,
Gain Loss On Investment Securities,,-15248000.0,60000000.0,119248000.0,13000000.0,-20000000.0,,CIG,,,,,,,,,,,,,
Net Foreign Currency Exchange Gain Loss,,,,,,,168600000.0,CIG,,,,,,,,,,,,,
Gain Loss On Sale Of Business,,,-293000000.0,,-153000000.0,,-768440000.0,CIG,,,,,,,,,,,,,
Net Income From Continuing Operations,,-757588000.0,3881000000.0,1245588000.0,1398000000.0,1407000000.0,,CIG,,,,,,,,,,,,,
Free Cash Flow,,,,,,,,TGT,,,,,,,,2435000000.0,807000000.0,913000000.0,-340000000.0,2261000000.0,
Repurchase Of Capital Stock,,,,,,,,TGT,,,,,,,,0.0,0.0,0.0,0.0,-1000000.0,
Repayment Of Debt,,,,,,,,TGT,,,,,,,,-33000000.0,-42000000.0,-26000000.0,-46000000.0,-24000000.0,
Issuance Of Debt,,,,,,,,TGT,,,,,,,,0.0,,,90000000.0,1634000000.0,
Capital Expenditure,,,,,,,,TGT,,,,,,,,-854000000.0,-1127000000.0,-1220000000.0,-1605000000.0,-1205000000.0,
End Cash Position,,,,,,,,TGT,,,,,,,,3805000000.0,1910000000.0,1617000000.0,1321000000.0,2229000000.0,
Beginning Cash Position,,,,,,,,TGT,,,,,,,,1910000000.0,1617000000.0,1321000000.0,2229000000.0,954000000.0,
Changes In Cash,,,,,,,,TGT,,,,,,,,1895000000.0,293000000.0,296000000.0,-908000000.0,1275000000.0,
Financing Cash Flow,,,,,,,,TGT,,,,,,,,-544000000.0,-552000000.0,-618000000.0,-571000000.0,-990000000.0,
Cash Flow From Continuing Financing Activities,,,,,,,,TGT,,,,,,,,-544000000.0,-552000000.0,-618000000.0,-571000000.0,-990000000.0,
Net Other Financing Charges,,,,,,,,TGT,,,,,,,,-3000000.0,-3000000.0,-3000000.0,-118000000.0,,-4000000.0
Proceeds From Stock Option Exercised,,,,,,,,TGT,,,,,,,,0.0,0.0,0.0,0.0,2000000.0,
Cash Dividends Paid,,,,,,,,TGT,,,,,,,,-508000000.0,-507000000.0,-499000000.0,-497000000.0,-497000000.0,
Common Stock Dividend Paid,,,,,,,,TGT,,,,,,,,-508000000.0,-507000000.0,-499000000.0,-497000000.0,-497000000.0,
Net Common Stock Issuance,,,,,,,,TGT,,,,,,,,0.0,0.0,0.0,0.0,-1000000.0,
Common Stock Payments,,,,,,,,TGT,,,,,,,,0.0,0.0,0.0,0.0,-1000000.0,
Net Issuance Payments Of Debt,,,,,,,,TGT,,,,,,,,-33000000.0,-42000000.0,-116000000.0,44000000.0,-494000000.0,
Net Short Term Debt Issuance,,,,,,,,TGT,,,,,,,,,0.0,-90000000.0,90000000.0,,559000000.0
Short Term Debt Issuance,,,,,,,,TGT,,,,,,,,,,,90000000.0,,
Net Long Term Debt Issuance,,,,,,,,TGT,,,,,,,,-33000000.0,-42000000.0,-26000000.0,-46000000.0,1610000000.0,
Long Term Debt Payments,,,,,,,,TGT,,,,,,,,-33000000.0,-42000000.0,-26000000.0,-46000000.0,-24000000.0,
Long Term Debt Issuance,,,,,,,,TGT,,,,,,,,0.0,,,,1634000000.0,
Investing Cash Flow,,,,,,,,TGT,,,,,,,,-850000000.0,-1089000000.0,-1219000000.0,-1602000000.0,-1201000000.0,
Cash Flow From Continuing Investing Activities,,,,,,,,TGT,,,,,,,,-850000000.0,-1089000000.0,-1219000000.0,-1602000000.0,-1201000000.0,
Net Investment Purchase And Sale,,,,,,,,TGT,,,,,,,,4000000.0,20000000.0,-3000000.0,1000000.0,0.0,
Net Business Purchase And Sale,,,,,,,,TGT,,,,,,,,,,,,0.0,0.0
Sale Of Business,,,,,,,,TGT,,,,,,,,,,,,0.0,0.0
Net PPE Purchase And Sale,,,,,,,,TGT,,,,,,,,0.0,18000000.0,4000000.0,2000000.0,4000000.0,
Sale Of PPE,,,,,,,,TGT,,,,,,,,0.0,18000000.0,4000000.0,2000000.0,4000000.0,
Capital Expenditure Reported,,,,,,,,TGT,,,,,,,,-854000000.0,-1127000000.0,-1220000000.0,-1605000000.0,-1205000000.0,
Operating Cash Flow,,,,,,,,TGT,,,,,,,,3289000000.0,1934000000.0,2133000000.0,1265000000.0,3466000000.0,
Cash Flow From Continuing Operating Activities,,,,,,,,TGT,,,,,,,,3289000000.0,1934000000.0,2133000000.0,1265000000.0,3466000000.0,
Change In Working Capital,,,,,,,,TGT,,,,,,,,1064000000.0,-29000000.0,483000000.0,-479000000.0,1786000000.0,
Change In Other Current Assets,,,,,,,,TGT,,,,,,,,123000000.0,-270000000.0,28000000.0,34000000.0,227000000.0,
Change In Payables And Accrued Expense,,,,,,,,TGT,,,,,,,,-1904000000.0,2288000000.0,523000000.0,-1396000000.0,-2059000000.0,
Change In Accrued Expense,,,,,,,,TGT,,,,,,,,199000000.0,264000000.0,197000000.0,67000000.0,-46000000.0,
Change In Payable,,,,,,,,TGT,,,,,,,,-2103000000.0,2024000000.0,326000000.0,-1463000000.0,-2013000000.0,
Change In Account Payable,,,,,,,,TGT,,,,,,,,-2103000000.0,2024000000.0,326000000.0,-1463000000.0,-2013000000.0,
Change In Inventory,,,,,,,,TGT,,,,,,,,2845000000.0,-2047000000.0,-68000000.0,883000000.0,3618000000.0,
Other Non Cash Items,,,,,,,,TGT,,,,,,,,-7000000.0,90000000.0,22000000.0,-11000000.0,31000000.0,
Stock Based Compensation,,,,,,,,TGT,,,,,,,,75000000.0,69000000.0,64000000.0,43000000.0,43000000.0,
Deferred Tax,,,,,,,,TGT,,,,,,,,46000000.0,111000000.0,46000000.0,95000000.0,34000000.0,
Deferred Income Tax,,,,,,,,TGT,,,,,,,,46000000.0,111000000.0,46000000.0,95000000.0,34000000.0,
Depreciation Amortization Depletion,,,,,,,,TGT,,,,,,,,729000000.0,722000000.0,683000000.0,667000000.0,696000000.0,
Depreciation And Amortization,,,,,,,,TGT,,,,,,,,729000000.0,722000000.0,683000000.0,667000000.0,696000000.0,
Gain Loss On Sale Of Business,,,,,,,,TGT,,,,,,,,,,,,0.0,0.0
