metric,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00,2019-12-31 00:00:00,stock,2023-05-31 00:00:00,2022-05-31 00:00:00,2021-05-31 00:00:00,2020-05-31 00:00:00,2024-01-31 00:00:00,2023-01-31 00:00:00,2022-01-31 00:00:00,2021-01-31 00:00:00,2020-01-31 00:00:00,2024-03-31 00:00:00,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2020-03-31 00:00:00,2023-06-30 00:00:00,2022-06-30 00:00:00,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2023-09-30 00:00:00,2022-09-30 00:00:00,2021-09-30 00:00:00,2020-09-30 00:00:00
Other Gand A,6037000000.0,5550000000.0,4201000000.0,3520000000.0,,BRK-B,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,439337000000.0,234121000000.0,354727000000.0,286325000000.0,,BRK-B,,,,,,,,,,,,,,,,,,,,,,,
Operating Revenue,439337000000.0,234121000000.0,354727000000.0,286325000000.0,,BRK-B,,,,,,,,,,,,,,,,,,,,,,,
Tax Effect Of Unusual Items,10199464.63067,2841720.0,-6849630.0,-651849.31391,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Tax Rate For Calcs,0.211682,0.21,0.27,0.306753,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Normalized EBITDA,343025000.0,288336000.0,94383000.0,107933000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Total Unusual Items,48183000.0,13532000.0,-25369000.0,-2125000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,48183000.0,13532000.0,-25369000.0,-2125000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,145881000.0,142943000.0,13349000.0,52488000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Reconciled Depreciation,104168000.0,109596000.0,65468000.0,36182000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Reconciled Cost Of Revenue,7551098000.0,7424525000.0,5599743000.0,4012348000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,391208000.0,301868000.0,69014000.0,105808000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
EBIT,287040000.0,192272000.0,3546000.0,69626000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Net Interest Income,-71030000.0,-49964000.0,-21187000.0,-7919000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Interest Expense,81113000.0,56371000.0,24992000.0,10523000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Interest Income,10083000.0,6407000.0,3805000.0,2604000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Normalized Income,107897464.63067,132252720.0,31868370.0,53961150.68609,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,124063000.0,86496000.0,-7219000.0,52488000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Total Expenses,8025001000.0,7860717000.0,5922933000.0,4277192000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Total Operating Income As Reported,272158000.0,175265000.0,-8694000.0,67141000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Diluted Average Shares,95118000.0,94914000.0,72384000.0,93098644.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Basic Average Shares,94917000.0,94886000.0,72190000.0,93098644.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Diluted EPS,1.3,0.91,-0.1,0.563789,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,1.31,0.91,-0.1,0.563789,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,124063000.0,86496000.0,-7219000.0,52488000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Net Income Common Stockholders,124063000.0,86496000.0,-7219000.0,52488000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Net Income,124063000.0,86496000.0,-7219000.0,52488000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Minority Interests,-31646000.0,-25287000.0,-24212000.0,-18764000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,155709000.0,111783000.0,16993000.0,71252000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Net Income Discontinuous Operations,-21818000.0,-56447000.0,-20568000.0,,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Net Income Continuous Operations,177527000.0,168230000.0,37561000.0,71252000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Earnings From Equity Interest Net Of Tax,15191000.0,6726000.0,48027000.0,30279000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Tax Provision,43591000.0,-25603000.0,-10980000.0,18130000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Pretax Income,205927000.0,135901000.0,-21446000.0,59103000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Other Income Expense,56690000.0,22179000.0,-21065000.0,-1725000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Other Non Operating Income Expenses,8507000.0,8647000.0,4304000.0,400000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Special Income Charges,51982000.0,11593000.0,-30536000.0,-2125000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Gain On Sale Of Ppe,54108000.0,11784000.0,561000.0,0.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Gain On Sale Of Business,0.0,192000.0,11000.0,0.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Impairment Of Capital Assets,2217000.0,397000.0,0.0,1210000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Restructuring And Mergern Acquisition,-91000.0,-14000.0,31108000.0,915000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Gain On Sale Of Security,-3799000.0,1939000.0,5167000.0,,-749000.0,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Net Non Operating Interest Income Expense,-71030000.0,-49964000.0,-21187000.0,-7919000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Interest Expense Non Operating,81113000.0,56371000.0,24992000.0,10523000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Interest Income Non Operating,10083000.0,6407000.0,3805000.0,2604000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Operating Income,220267000.0,163686000.0,20806000.0,68747000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Operating Expense,473903000.0,436192000.0,323190000.0,264844000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Selling General And Administration,473903000.0,436192000.0,323190000.0,264844000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
General And Administrative Expense,473903000.0,436192000.0,323190000.0,264844000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Other Gand A,473903000.0,436192000.0,323190000.0,264844000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,694170000.0,599878000.0,343996000.0,333591000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Cost Of Revenue,7551098000.0,7424525000.0,5599743000.0,4012348000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,8245268000.0,8024403000.0,5943739000.0,4345939000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Operating Revenue,8175558000.0,7960218000.0,5938102000.0,4345939000.0,,DOLE,,,,,,,,,,,,,,,,,,,,,,,
Tax Effect Of Unusual Items,,,,,,FDX,-110334000.0,-60882000.0,-109944000.0,-100050000.0,,,,,,,,,,,,,,,,,,,
Tax Rate For Calcs,,,,,,FDX,0.259,0.219,0.216,0.23,,,,,,,,,,,,,,,,,,,
Normalized EBITDA,,,,,,FDX,10659000000.0,9833000000.0,11769000000.0,6391000000.0,,,,,,,,,,,,,,,,,,,
Total Unusual Items,,,,,,FDX,-426000000.0,-278000000.0,-509000000.0,-435000000.0,,,,,,,,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,,,,,,FDX,-426000000.0,-278000000.0,-509000000.0,-435000000.0,,,,,,,,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,,,,,,FDX,3972000000.0,3826000000.0,5231000000.0,1286000000.0,,,,,,,,,,,,,,,,,,,
Reconciled Depreciation,,,,,,FDX,4176000000.0,3970000000.0,3793000000.0,3615000000.0,,,,,,,,,,,,,,,,,,,
Reconciled Cost Of Revenue,,,,,,FDX,70989000000.0,73345000000.0,66005000000.0,55873000000.0,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,FDX,10233000000.0,9555000000.0,11260000000.0,5956000000.0,,,,,,,,,,,,,,,,,,,
EBIT,,,,,,FDX,6057000000.0,5585000000.0,7467000000.0,2341000000.0,,,,,,,,,,,,,,,,,,,
Net Interest Income,,,,,,FDX,-496000000.0,-636000000.0,-741000000.0,-617000000.0,,,,,,,,,,,,,,,,,,,
Interest Expense,,,,,,FDX,694000000.0,689000000.0,793000000.0,672000000.0,,,,,,,,,,,,,,,,,,,
Interest Income,,,,,,FDX,198000000.0,53000000.0,52000000.0,55000000.0,,,,,,,,,,,,,,,,,,,
Normalized Income,,,,,,FDX,4287666000.0,4043118000.0,5630056000.0,1620950000.0,,,,,,,,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,,,,,,FDX,3972000000.0,3826000000.0,5231000000.0,1286000000.0,,,,,,,,,,,,,,,,,,,
Total Expenses,,,,,,FDX,84817000000.0,86989000000.0,77986000000.0,66365000000.0,,,,,,,,,,,,,,,,,,,
Rent Expense Supplemental,,,,,,FDX,4738000000.0,4712000000.0,4155000000.0,3712000000.0,,,,,,,,,,,,,,,,,,,
Total Operating Income As Reported,,,,,,FDX,4912000000.0,6245000000.0,5857000000.0,2417000000.0,,,,,,,,,,,,,,,,,,,
Diluted Average Shares,,,,,,FDX,256000000.0,266000000.0,268000000.0,262000000.0,,,,,,,,,,,,,,,,,,,
Basic Average Shares,,,,,,FDX,254000000.0,263000000.0,264000000.0,261000000.0,,,,,,,,,,,,,,,,,,,
Diluted EPS,,,,,,FDX,15.48,14.33,19.45,4.9,,,,,,,,,,,,,,,,,,,
Basic EPS,,,,,,FDX,15.6,14.54,19.79,4.92,,,,,,,,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,,,,,,FDX,3966000000.0,3819000000.0,5220000000.0,1284000000.0,,,,,,,,,,,,,,,,,,,
Net Income Common Stockholders,,,,,,FDX,3966000000.0,3819000000.0,5220000000.0,1284000000.0,,,,,,,,,,,,,,,,,,,
Otherunder Preferred Stock Dividend,,,,,,FDX,6000000.0,7000000.0,11000000.0,2000000.0,,,,,,,,,,,,,,,,,,,
Net Income,,,,,,FDX,3972000000.0,3826000000.0,5231000000.0,1286000000.0,,,,,,,,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,,,,,,FDX,3972000000.0,3826000000.0,5231000000.0,1286000000.0,,,,,,,,,,,,,,,,,,,
Net Income Continuous Operations,,,,,,FDX,3972000000.0,3826000000.0,5231000000.0,1286000000.0,,,,,,,,,,,,,,,,,,,
Tax Provision,,,,,,FDX,1391000000.0,1070000000.0,1443000000.0,383000000.0,,,,,,,,,,,,,,,,,,,
Pretax Income,,,,,,FDX,5363000000.0,4896000000.0,6674000000.0,1669000000.0,,,,,,,,,,,,,,,,,,,
Other Income Expense,,,,,,FDX,521000000.0,-991000000.0,1442000000.0,-566000000.0,,,,,,,,,,,,,,,,,,,
Other Non Operating Income Expenses,,,,,,FDX,947000000.0,-713000000.0,1951000000.0,-131000000.0,,,,,,,,,,,,,,,,,,,
Special Income Charges,,,,,,FDX,-426000000.0,-278000000.0,-509000000.0,-435000000.0,,,,,,,,,,,,,,,,,,,
Other Special Charges,,,,,,FDX,,,393000000.0,,,,,,,,,,,,,,,,,,,,
Impairment Of Capital Assets,,,,,,FDX,117000000.0,0.0,0.0,435000000.0,,,,,,,,,,,,,,,,,,,
Restructuring And Mergern Acquisition,,,,,,FDX,309000000.0,278000000.0,116000000.0,0.0,,,,,,,,,,,,,,,,,,,
Net Non Operating Interest Income Expense,,,,,,FDX,-496000000.0,-636000000.0,-741000000.0,-617000000.0,,,,,,,,,,,,,,,,,,,
Interest Expense Non Operating,,,,,,FDX,694000000.0,689000000.0,793000000.0,672000000.0,,,,,,,,,,,,,,,,,,,
Interest Income Non Operating,,,,,,FDX,198000000.0,53000000.0,52000000.0,55000000.0,,,,,,,,,,,,,,,,,,,
Operating Income,,,,,,FDX,5338000000.0,6523000000.0,5973000000.0,2852000000.0,,,,,,,,,,,,,,,,,,,
Operating Expense,,,,,,FDX,13828000000.0,13644000000.0,11981000000.0,10492000000.0,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,,,,,,FDX,13828000000.0,13644000000.0,11981000000.0,10492000000.0,,,,,,,,,,,,,,,,,,,
Gross Profit,,,,,,FDX,19166000000.0,20167000000.0,17954000000.0,13344000000.0,,,,,,,,,,,,,,,,,,,
Cost Of Revenue,,,,,,FDX,70989000000.0,73345000000.0,66005000000.0,55873000000.0,,,,,,,,,,,,,,,,,,,
Total Revenue,,,,,,FDX,90155000000.0,93512000000.0,83959000000.0,69217000000.0,,,,,,,,,,,,,,,,,,,
Operating Revenue,,,,,,FDX,90155000000.0,93512000000.0,83959000000.0,69217000000.0,,,,,,,,,,,,,,,,,,,
Tax Effect Of Unusual Items,0.0,0.0,0.0,-164517000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Tax Rate For Calcs,0.21,0.349,0.27,0.087,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Normalized EBITDA,1002000000.0,617000000.0,153000000.0,-452000000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Total Unusual Items,,0.0,0.0,-1891000000.0,-5821000000.0,NOV,,,,,,,,,,,,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,,0.0,0.0,-1891000000.0,-5821000000.0,NOV,,,,,,,,,,,,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,993000000.0,155000000.0,-250000000.0,-2542000000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Reconciled Depreciation,302000000.0,301000000.0,306000000.0,352000000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Reconciled Cost Of Revenue,6750000000.0,5903000000.0,4750000000.0,5656000000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,1002000000.0,617000000.0,153000000.0,-2343000000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
EBIT,700000000.0,316000000.0,-153000000.0,-2695000000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Net Interest Income,-60000000.0,-59000000.0,-68000000.0,-77000000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Interest Expense,88000000.0,78000000.0,77000000.0,84000000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Interest Income,28000000.0,19000000.0,9000000.0,7000000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Normalized Income,993000000.0,155000000.0,-250000000.0,-815517000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,993000000.0,155000000.0,-250000000.0,-2542000000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Total Expenses,7932000000.0,6973000000.0,5658000000.0,6624000000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Total Operating Income As Reported,651000000.0,264000000.0,-134000000.0,-2425000000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Diluted Average Shares,397000000.0,394000000.0,386000000.0,384000000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Basic Average Shares,393000000.0,390000000.0,386000000.0,384000000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Diluted EPS,2.5,0.39,-0.65,-6.62,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,2.53,0.4,-0.65,-6.62,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,993000000.0,155000000.0,-250000000.0,-2542000000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Net Income Common Stockholders,993000000.0,155000000.0,-250000000.0,-2542000000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Net Income,993000000.0,155000000.0,-250000000.0,-2542000000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Minority Interests,8000000.0,0.0,-5000000.0,-5000000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,985000000.0,155000000.0,-245000000.0,-2537000000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Net Income Continuous Operations,985000000.0,155000000.0,-245000000.0,-2537000000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Tax Provision,-373000000.0,83000000.0,15000000.0,-242000000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Pretax Income,612000000.0,238000000.0,-230000000.0,-2779000000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Other Income Expense,21000000.0,33000000.0,-28000000.0,-2168000000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Other Non Operating Income Expenses,-98000000.0,-35000000.0,-23000000.0,-17000000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Special Income Charges,,0.0,0.0,-1891000000.0,-5821000000.0,NOV,,,,,,,,,,,,,,,,,,,,,,,
Impairment Of Capital Assets,,0.0,0.0,1891000000.0,5821000000.0,NOV,,,,,,,,,,,,,,,,,,,,,,,
Earnings From Equity Interest,119000000.0,68000000.0,-5000000.0,-260000000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Net Non Operating Interest Income Expense,-60000000.0,-59000000.0,-68000000.0,-77000000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Interest Expense Non Operating,88000000.0,78000000.0,77000000.0,84000000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Interest Income Non Operating,28000000.0,19000000.0,9000000.0,7000000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Operating Income,651000000.0,264000000.0,-134000000.0,-534000000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Operating Expense,1182000000.0,1070000000.0,908000000.0,968000000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Selling General And Administration,1182000000.0,1070000000.0,908000000.0,968000000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,1833000000.0,1334000000.0,774000000.0,434000000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Cost Of Revenue,6750000000.0,5903000000.0,4750000000.0,5656000000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,8583000000.0,7237000000.0,5524000000.0,6090000000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Operating Revenue,8583000000.0,7237000000.0,5524000000.0,6090000000.0,,NOV,,,,,,,,,,,,,,,,,,,,,,,
Tax Effect Of Unusual Items,140323400.0,1701000.0,-135286656.735476,27087608.524073,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Tax Rate For Calcs,0.1582,0.0063,0.201319,0.246251,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Normalized EBITDA,8265000000.0,5967000000.0,7587000000.0,6087000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Total Unusual Items,887000000.0,270000000.0,-672000000.0,110000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,887000000.0,270000000.0,-672000000.0,110000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,5764000000.0,4092000000.0,3751000000.0,2864000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Reconciled Depreciation,1274000000.0,1182000000.0,1049000000.0,989000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Reconciled Cost Of Revenue,27219000000.0,26541000000.0,25976000000.0,19845000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,9152000000.0,6237000000.0,6915000000.0,6197000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
EBIT,7878000000.0,5055000000.0,5866000000.0,5208000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Net Interest Income,-901000000.0,-662000000.0,-1596000000.0,-964000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Interest Expense,1027000000.0,935000000.0,1167000000.0,1407000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Interest Income,286000000.0,337000000.0,462000000.0,526000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Normalized Income,5017323400.0,3823701000.0,4287713343.264524,2781087608.524073,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,5764000000.0,4092000000.0,3751000000.0,2864000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Total Expenses,30421000000.0,30799000000.0,27893000000.0,20930000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Total Operating Income As Reported,,5686000000.0,6951000000.0,4706000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Diluted Average Shares,2200524524.0,2200524524.0,2200524524.0,2203076923.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Basic Average Shares,2200524524.0,2200524524.0,2200524524.0,2203076923.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Diluted EPS,2.62,1.86,1.7,1.3,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,2.62,1.86,1.7,1.3,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,5764000000.0,4092000000.0,3751000000.0,2864000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Net Income Common Stockholders,5764000000.0,4092000000.0,3751000000.0,2864000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Net Income,5764000000.0,4092000000.0,3751000000.0,2864000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Minority Interests,-3000000.0,-2000000.0,-2000000.0,-1000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,5767000000.0,4094000000.0,3753000000.0,2865000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Net Income Discontinuous Operations,,,0.0,0.0,224000000.0,CIG,,,,,,,,,,,,,,,,,,,,,,,
Net Income Continuous Operations,5767000000.0,4094000000.0,3753000000.0,2865000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Tax Provision,1084000000.0,26000000.0,946000000.0,936000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Pretax Income,6851000000.0,4120000000.0,4699000000.0,3801000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Other Income Expense,1323000000.0,1118000000.0,542000000.0,467000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Other Non Operating Income Expenses,4000000.0,5000000.0,1032000000.0,502000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Special Income Charges,0.0,-167000000.0,4000000.0,51000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Gain On Sale Of Ppe,,52000000.0,109000000.0,0.0,0.0,CIG,,,,,,,,,,,,,,,,,,,,,,,
Gain On Sale Of Business,0.0,0.0,0.0,,0.0,CIG,,,,,,,,,,,,,,,,,,,,,,,
Other Special Charges,,,-1032000000.0,,-73000000.0,CIG,,,,,,,,,,,,,,,,,,,,,,,
Write Off,0.0,172000000.0,0.0,0.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Restructuring And Mergern Acquisition,0.0,-5000000.0,-4000000.0,-51000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Earnings From Equity Interest,432000000.0,843000000.0,182000000.0,357000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Gain On Sale Of Security,887000000.0,437000000.0,-676000000.0,59000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Net Non Operating Interest Income Expense,-901000000.0,-662000000.0,-1596000000.0,-964000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Total Other Finance Cost,160000000.0,64000000.0,891000000.0,83000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Interest Expense Non Operating,1027000000.0,935000000.0,1167000000.0,1407000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Interest Income Non Operating,286000000.0,337000000.0,462000000.0,526000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Operating Income,6429000000.0,3664000000.0,5753000000.0,4298000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Operating Expense,1955000000.0,3148000000.0,970000000.0,1085000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,365000000.0,314000000.0,496000000.0,857000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Other Taxes,41000000.0,1294000000.0,-235000000.0,-502000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Provision For Doubtful Accounts,176000000.0,55000000.0,144000000.0,147000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Depreciation Amortization Depletion Income Statement,27000000.0,72000000.0,102000000.0,,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Depreciation And Amortization In Income Statement,27000000.0,72000000.0,102000000.0,,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Selling General And Administration,1346000000.0,1413000000.0,463000000.0,583000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Selling And Marketing Expense,,,144000000.0,147000000.0,238000000.0,CIG,,,,,,,,,,,,,,,,,,,,,,,
General And Administrative Expense,1346000000.0,1413000000.0,463000000.0,583000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Other Gand A,290000000.0,328000000.0,203000000.0,583000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Salaries And Wages,1056000000.0,1085000000.0,260000000.0,,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,8384000000.0,6812000000.0,6723000000.0,5383000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Cost Of Revenue,28466000000.0,27651000000.0,26923000000.0,19845000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,36850000000.0,34463000000.0,33646000000.0,25228000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Excise Taxes,-1909000000.0,-1530000000.0,-1317000000.0,-266000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Operating Revenue,45500000000.0,43696000000.0,41420000000.0,34208000000.0,,CIG,,,,,,,,,,,,,,,,,,,,,,,
Tax Effect Of Unusual Items,,,,,,TGT,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Tax Rate For Calcs,,,,,,TGT,,,,,0.219,0.187,0.22,0.212,,,,,,,,,,,,,,,
Normalized EBITDA,,,,,,TGT,,,,,8600000000.0,6596000000.0,11970000000.0,9008000000.0,,,,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,,,,,,TGT,,,,,4138000000.0,2780000000.0,6946000000.0,4368000000.0,,,,,,,,,,,,,,,
Reconciled Depreciation,,,,,,TGT,,,,,2801000000.0,2700000000.0,2642000000.0,2485000000.0,,,,,,,,,,,,,,,
Reconciled Cost Of Revenue,,,,,,TGT,,,,,77350000000.0,81914000000.0,74665000000.0,65922000000.0,,,,,,,,,,,,,,,
EBITDA,,,,,,TGT,,,,,8600000000.0,6596000000.0,11970000000.0,9008000000.0,,,,,,,,,,,,,,,
EBIT,,,,,,TGT,,,,,5799000000.0,3896000000.0,9328000000.0,6523000000.0,,,,,,,,,,,,,,,
